3008.483276	1998
3022.052917	1993
3035.623474	2006
3049.195557	2018
3062.768555	2033
3076.342468	2034
3089.917603	2028
3103.493652	2005
3117.070923	2001
3130.648804	2002
3144.227600	1991
3157.807007	1976
3171.387329	1960
3184.968567	1942
3198.550110	1936
3212.132568	1954
3225.715332	1953
3239.299011	1962
3252.882690	1986
3266.467285	2007
3280.051880	2009
3293.637085	2002
3307.222290	2007
3320.808105	2010
3334.393921	2027
3347.980042	2015
3361.566162	2031
3375.152283	2031
3388.738403	2025
3402.324524	2037
3415.910645	2050
3429.496765	2061
3443.082581	2062
3456.668091	2058
3470.253601	2056
3483.838501	2058
3497.423401	2042
3511.007690	2036
3524.591675	2035
3538.175049	2034
3551.757813	2052
3565.340271	2097
3578.921814	2135
3592.502747	2213
3606.083069	2263
3619.662781	2318
3633.241272	2359
3646.819153	2420
3660.396118	2443
3673.972168	2502
3687.547302	2568
3701.121216	2632
3714.694214	2695
3728.265991	2774
3741.836853	2850
3755.406189	2961
3768.974304	3041
3782.541199	3189
3796.106567	3342
3809.670715	3672
3823.233337	4154
3836.794434	5512
3850.354004	7512
3863.912048	8942
3877.468262	9409
3891.022949	10214
3904.576111	10640
3918.127136	10746
3931.676636	10563
3945.223999	10641
3958.769836	11016
3972.313232	11096
3985.855103	10413
3999.394531	9380
4012.932129	9993
4026.467590	10271
4040.000610	10152
4053.531494	9938
4067.060242	9532
4080.586548	8997
4094.110718	9482
4107.632141	9935
4121.151428	9199
4134.667969	7866
4148.182068	9399
4161.693420	10480
4175.202332	9774
4188.708191	7649
4202.211609	8015
4215.712280	9285
4229.209900	10063
4242.705078	9175
4256.196899	6792
4269.685974	5869
4283.171997	7085
4296.654968	8830
4310.134583	9509
4323.611450	8252
4337.084961	5766
4350.555115	6871
4364.021912	8529
4377.485657	8439
4390.945740	6928
4404.402771	6035
4417.856140	6471
4431.305847	8307
4444.752197	9026
4458.194885	7182
4471.633606	5016
4485.068970	5634
4498.500671	6083
4511.928406	7186
4525.352173	7958
4538.772278	6739
4552.188416	5687
4565.600586	5997
4579.008484	6886
4592.412720	7713
4605.812378	7924
4619.208374	6386
4632.599792	5495
4645.986938	6273
4659.370117	6993
4672.748718	6621
4686.123047	5986
4699.492798	5136
4712.857971	4785
4726.218872	5368
4739.575195	6234
4752.926636	6552
4766.273499	6371
4779.615784	5334
4792.953186	4831
4806.286011	5203
4819.613647	5760
4832.936707	6611
4846.254578	7272
4859.567566	6811
4872.875366	6267
4886.178284	5840
4899.476013	5895
4912.768555	5771
4926.055908	5553
4939.338074	5418
4952.614746	5895
4965.886230	6551
4979.152222	7070
4992.412720	7320
5005.667725	7288
5018.917236	6757
5032.161255	6288
5045.399475	6283
5058.632202	6699
5071.859131	7664
5085.080261	8766
5098.295593	9447
5111.505127	9816
5124.708862	9535
5137.905884	9103
5151.098022	8225
5164.283447	7204
5177.462769	5951
5190.635986	5448
5203.803101	5311
5216.964111	5469
5230.118408	5642
5243.267212	6106
5256.408691	7530
5269.544678	9131
5282.673340	9807
5295.795898	10090
5308.911743	10222
5322.021484	10244
5335.123901	10177
5348.220215	10095
5361.309814	9998
5374.392090	9904
5387.467651	9732
5400.536499	9632
5413.598633	9406
5426.653442	9184
5439.701538	8743
5452.742310	8283
5465.776367	7700
5478.803101	7251
5491.822510	6785
5504.834595	6383
5517.839355	6035
5530.836792	5678
5543.826904	5317
5556.809692	5165
5569.785156	5142
5582.753296	5163
5595.713501	5342
5608.665771	6784
5621.610718	8814
5634.548340	10149
5647.477417	10943
5660.399170	11103
5673.312988	11410
5686.218872	11434
5699.117432	11512
5712.007446	11512
5724.889526	11515
5737.763062	11515
5750.629272	11515
5763.486938	11515
5776.336670	11514
5789.177856	11514
5802.010498	11468
5814.835205	11468
5827.651367	11428
5840.459595	11368
5853.258667	11213
5866.049194	11163
5878.831787	11007
5891.605225	10948
5904.370117	10851
5917.126465	10824
5929.873657	10642
5942.612305	10498
5955.342407	10244
5968.063354	9983
5980.775146	9535
5993.477783	9190
6006.171875	8715
6018.856812	8408
6031.532593	8160
6044.199219	8047
6056.856079	7989
6069.504395	7946
6082.142944	7925
6094.772339	7894
6107.392578	8087
6120.003052	8347
6132.604370	8656
6145.195923	8749
6157.777710	8823
6170.349731	8786
6182.912598	8942
6195.465698	9140
6208.008423	9316
6220.541992	9281
6233.065186	9213
6245.578613	9146
6258.082275	9152
6270.576172	9184
6283.059692	9200
6295.532837	9122
6307.996216	8678
6320.449219	8241
6332.892456	7833
6345.325317	7622
6357.747192	7413
6370.159302	7022
6382.561035	6467
6394.951782	5758
6407.332153	5225
6419.702148	4787
6432.061768	4420
6444.410400	3999
6456.748657	3723
6469.075928	3361
6481.392822	3110
6493.698120	2850
6505.993042	2681
6518.276978	2554
6530.549927	2477
6542.811890	2294
6555.062866	2160
6567.302856	2066
6579.531250	2017
6591.748657	1971
6603.955078	1941
6616.149902	1870
6628.333740	1839
6640.505981	1803
6652.666626	1773
6664.816284	1758
6676.953735	1743
6689.080200	1726
6701.195068	1728
6713.297729	1722
6725.388794	1706
6737.468872	1683
6749.536133	1675
6761.592407	1677
6773.636475	1680
6785.668335	1675
6797.688599	1666
6809.696655	1670
6821.692505	1652
6833.676758	1661
6845.648193	1650
6857.608032	1650
6869.555054	1648
6881.489868	1654
6893.413086	1651
6905.322876	1641
6917.221069	1645
6929.106445	1650
6940.979004	1655
6952.839355	1661
6964.686890	1653
6976.521606	1637
6988.344116	1631
7000.153809	1625
7011.950073	1618
7023.734131	1612
7035.505371	1595
7047.263184	1589
