g3_1_1bits,g3_2_1bits,g3_3_1bits,g3_1_2bits,g3_2_2bits,g3_3_2bits,g3_1_3bits,g3_2_3bits,g3_3_3bits,g3_1_4bits,g3_2_4bits,g3_3_4bits,g3_1_5bits,g3_2_5bits,g3_3_5bits,g3_1_6bits,g3_2_6bits,g3_3_6bits,g3_1_7bits,g3_2_7bits,g3_3_7bits,g3_1_8bits,g3_2_8bits,g3_3_8bits,g3_1_9bits,g3_2_9bits,g3_3_9bits,g3_1_10bits,g3_2_10bits,g3_3_10bits,g3_1_11bits,g3_2_11bits,g3_3_11bits,g3_1_12bits,g3_2_12bits,g3_3_12bits,g3_1_13bits,g3_2_13bits,g3_3_13bits,g3_1_14bits,g3_2_14bits,g3_3_14bits,g3_1_15bits,g3_2_15bits,g3_3_15bits,g3_1_16bits,g3_2_16bits,g3_3_16bits
0.2458,0.2458,0.2458,0.2458,0.10579999999999998,0.10579999999999998,0.2458,0.0658,0.1258,0.2458,0.10580000000000003,0.10580000000000003,0.2458,0.09676774193548385,0.12386451612903224,0.2458,0.09246666666666667,0.11913333333333334,0.2458,0.0936740157480315,0.12013070866141731,0.2458,0.09591764705882352,0.11897647058823527,0.2458,0.09538904109589039,0.11840273972602736,0.2458,0.09512551319648097,0.11852727272727273,0.2458,0.09519912066438693,0.1185894479726429,0.2458,0.09523589743589742,0.11851794871794871,0.2458,0.09520300329630085,0.11848221218410451,0.2458,0.09521219556857716,0.11848998351950193,0.2458,0.09520397350993379,0.11849386883144628,0.2458,0.0951998626688029,0.11850222018768594
0.2458,0.2458,0.2458,0.2458,0.10579999999999998,0.10579999999999998,0.2458,0.0658,0.1258,0.2458,0.07780000000000001,0.10580000000000003,0.2322516129032258,0.08321935483870965,0.11031612903225804,0.23246666666666663,0.08580000000000002,0.11246666666666663,0.23257165354330708,0.08705984251968504,0.11682362204724409,0.2342705882352941,0.08603529411764702,0.11568235294117643,0.23429315068493148,0.08634794520547942,0.11511506849315065,0.23389384164222873,0.08609325513196484,0.11524281524926686,0.23389965803615045,0.08596609672691743,0.11510141670737664,0.23400512820512817,0.0861076923076923,0.11523589743589743,0.23400656818459284,0.08607591258698574,0.11520056159199124,0.23400728804248302,0.08606002563633033,0.11520853323567112,0.23399483016449477,0.08606490066225167,0.11519970091860712,0.2340014190890364,0.08606092927443351,0.11520169375143055
0.2458,0.2458,0.2458,0.2458,0.10579999999999998,0.10579999999999998,0.1858,0.0658,0.0658,0.1898,0.07780000000000001,0.07780000000000001,0.2051548387096774,0.08321935483870965,0.08321935483870965,0.20579999999999996,0.0791333333333333,0.08580000000000002,0.20280787401574804,0.07713858267716536,0.08705984251968504,0.20297647058823529,0.07615294117647056,0.08768235294117646,0.2030602739726027,0.07648493150684929,0.0879917808219178,0.20310205278592378,0.07665043988269796,0.08855659824046921,0.20291773326819737,0.07673307278944799,0.08842823644357597,0.2029282051282051,0.07677435897435894,0.08836410256410257,0.20288216335001832,0.07679499450616531,0.0883833231595654,0.2029104193371177,0.07680531038271379,0.08839293169749127,0.2028989104892117,0.07679765007477038,0.08839773552659688,0.2028995651178759,0.07680022888532842,0.08840013733119709
0.2458,0.2458,0.2458,0.10579999999999998,0.10579999999999998,0.10579999999999998,0.1858,0.0658,0.0658,0.16180000000000003,0.07780000000000001,0.04980000000000001,0.15096129032258063,0.08321935483870965,0.042574193548387096,0.15913333333333332,0.0791333333333333,0.039133333333333326,0.1565086614173228,0.07713858267716536,0.03745354330708661,0.15850588235294114,0.07615294117647056,0.03827058823529411,0.15785479452054793,0.07648493150684929,0.037854794520547935,0.15753020527859238,0.07665043988269796,0.03764750733137831,0.15777850512945776,0.07673307278944799,0.03774919394235468,0.15769743589743587,0.07667179487179485,0.037697435897435905,0.15770819191795873,0.07664116713465999,0.03767156635331462,0.15768793261307454,0.07665149240065919,0.03765863394982602,0.15770343943601797,0.07665665456099127,0.0376649861140782,0.15769837491416802,0.076659235523003,0.037661753261615916
0.2458,0.2458,-0.1742,0.10579999999999998,0.10579999999999998,-0.03420000000000001,0.1258,0.0658,0.0058,0.10580000000000003,0.07780000000000001,-0.006199999999999983,0.11031612903225804,0.08321935483870965,-0.011619354838709683,0.10579999999999998,0.08580000000000002,-0.014200000000000018,0.10359527559055118,0.08705984251968504,-0.015459842519685046,0.10415294117647059,0.08603529411764702,-0.017729411764705882,0.10525205479452052,0.08634794520547942,-0.017213698630136998,0.10497888563049854,0.08609325513196484,-0.01695659824046919,0.10484250122129948,0.08596609672691743,-0.017033414753297504,0.10487692307692306,0.0861076923076923,-0.017071794871794888,0.10484285191063361,0.08607591258698574,-0.01703970211207423,0.10485145577733015,0.08606002563633033,-0.01702365867057315,0.10485575731681265,0.08606490066225167,-0.01702845545823542,0.10485790798809794,0.08606092927443351,-0.017030853742275115
0.2458,0.2458,-0.1742,0.10579999999999998,0.10579999999999998,-0.03420000000000001,0.0658,0.0658,-0.0542,0.04980000000000001,0.07780000000000001,-0.06219999999999999,0.042574193548387096,0.08321935483870965,-0.06581290322580645,0.04579999999999998,0.09246666666666667,-0.06753333333333333,0.044067716535433066,0.09036692913385827,-0.06837322834645669,0.04321176470588234,0.08932941176470585,-0.06714117647058823,0.042786301369863,0.08963561643835613,-0.06735068493150685,0.042574193548387096,0.0897882697947214,-0.06745513196480937,0.04246829506595018,0.0898644846116268,-0.06730210063507572,0.0425179487179487,0.08980000000000002,-0.06743076923076922,0.042491490660481024,0.08981904529361498,-0.06739252838481259,0.04247826405420252,0.08982856619666726,-0.06739904779344442,0.04248446913052767,0.0898461439863277,-0.06740230719931638,0.04248116273746852,0.0898421149004349,-0.06739752803845274
-0.1742,0.2458,-0.1742,-0.03420000000000001,0.10579999999999998,-0.03420000000000001,0.0058,0.0658,-0.1142,-0.006199999999999983,0.07780000000000001,-0.09019999999999999,0.0019290322580645114,0.08321935483870965,-0.09290967741935484,-0.0008666666666666822,0.08580000000000002,-0.08753333333333334,-0.0022314960629921388,0.08705984251968504,-0.08821574803149607,-0.002905882352941175,0.08768235294117646,-0.08855294117647058,-0.002419178082191775,0.0879917808219178,-0.0878986301369863,-0.0025870967741935535,0.08855659824046921,-0.08798299120234604,-0.002465754763067901,0.08842823644357597,-0.08781993160723009,-0.002507692307692322,0.08836410256410257,-0.08784102564102564,-0.002528653400073244,0.0883833231595654,-0.08780029300451715,-0.002539132027101265,0.08839293169749127,-0.08780556674601721,-0.002531553086947219,0.08839773552659688,-0.08779538560136722,-0.0025341725795376413,0.08840013733119709,-0.08780311284046692
-0.1742,0.2458,-0.1742,-0.03420000000000001,0.10579999999999998,-0.03420000000000001,-0.0542,0.0658,-0.1142,-0.06219999999999999,0.07780000000000001,-0.09019999999999999,-0.052264516129032254,0.08321935483870965,-0.09290967741935484,-0.0542,0.08580000000000002,-0.0942,-0.051837795275590556,0.08375275590551182,-0.0915228346456693,-0.05231764705882354,0.08274117647058823,-0.0918470588235294,-0.051734246575342466,0.08223835616438355,-0.09200821917808219,-0.05185395894428152,0.08280879765395896,-0.09167800586510264,-0.05191372740595994,0.08268324377137273,-0.09171831949193941,-0.05184102564102565,0.08262051282051283,-0.09173846153846153,-0.05180468807227444,0.08264043462336715,-0.09169725308265168,-0.05181215894524813,0.08265039370078739,-0.09170228895806629,-0.05181589403973509,0.08264255500961334,-0.09170480666524246,-0.05181776150148776,0.08263863584344242,-0.09169965667200732
-0.1742,0.2458,-0.1742,-0.03420000000000001,0.10579999999999998,-0.03420000000000001,-0.1142,0.0658,-0.0542,-0.09019999999999999,0.07780000000000001,-0.09019999999999999,-0.09290967741935484,0.06967096774193549,-0.07936129032258064,-0.0942,0.0658,-0.08086666666666667,-0.09482992125984252,0.06721732283464565,-0.0816015748031496,-0.09514117647058823,0.06791764705882353,-0.08031764705882354,-0.09447397260273972,0.06826575342465752,-0.0805013698630137,-0.0949624633431085,0.0684392961876833,-0.0801824046920821,-0.09479599413776257,0.06852594040058624,-0.08022833414753297,-0.0948153846153846,0.06856923076923077,-0.08014871794871795,-0.09482507630325966,0.06859086802588207,-0.08021147601025515,-0.09485555759018495,0.06860168467313676,-0.08019157663431606,-0.09484516129032257,0.0685942747276223,-0.08019444563127537,-0.09485278095674067,0.06859697871366446,-0.08020228885328451
-0.1742,0.2458,-0.1742,-0.1742,0.10579999999999998,-0.03420000000000001,-0.1142,0.0658,-0.0542,-0.1182,0.04980000000000001,-0.06219999999999999,-0.1335548387096774,0.05612258064516129,-0.052264516129032254,-0.12753333333333333,0.059133333333333316,-0.0542,-0.1279007874015748,0.0606031496062992,-0.051837795275590556,-0.12808235294117648,0.059682352941176464,-0.05231764705882354,-0.12817260273972603,0.05922465753424658,-0.05255616438356164,-0.12780703812316715,0.059407038123167166,-0.05308563049853372,-0.12782970200293112,0.059498094772838295,-0.052939618954567655,-0.12794358974358974,0.059543589743589725,-0.05296923076923077,-0.12789796117690147,0.05956632889757052,-0.052932755463313386,-0.1279007874015748,0.059577696392602075,-0.05291452114997254,-0.1279022003845332,0.05957056184575946,-0.05291822260200811,-0.1279029068436713,0.05956699473563745,-0.052920073243305096
