1_1,1_2,1_3,2_1,2_2,2_3,3_1,3_2,3_3,4_1,4_2,4_3,5_1,5_2,5_3,6_1,6_2,6_3,7_1,7_2,7_3,8_1,8_2,8_3,9_1,9_2,9_3,10_1,10_2,10_3,11_1,11_2,11_3,12_1,12_2,12_3,13_1,13_2,13_3,14_1,14_2,14_3
-0.006653,-0.002808,0.005127,-0.001465,0.00842,0.0105,0.002655,0.003601,0.003662,-0.001007,0.001251,0.0009155,0.003479,0.009155,0.002472,0.00845,0.010895,0.003754,0.00845,0.002563,0.009155,0.0007935,0.00836,0.000885,0.002197,0.002594,-0.0002747,-0.00232,-0.005707,0.007477,0.00906,0.013306,0.00867,0.000519,0.00809,0.001129,-9.155e-05,-0.0003662,-0.0009155,-0.002045,-0.0003662,-0.002625
-0.0065,-0.001984,0.00528,-0.002167,0.00787,0.00897,0.00299,0.003479,0.003937,-0.000519,0.001099,0.0007935,0.003723,0.007477,0.002655,0.00763,0.010925,0.00415,0.011475,0.00235,0.00879,9.155e-05,0.00464,0.0001221,0.001709,0.001831,0.002136,-0.002228,-0.005585,0.00787,0.00836,0.01288,0.00809,0.0008545,0.00864,0.001526,0.000977,-0.0002747,-0.0005493,-0.002045,-0.0003052,-0.001984
-0.0058,-0.000824,0.004272,-0.001892,0.007263,0.00775,0.003326,0.003235,0.00415,3.05e-05,0.000977,0.0007324,0.003937,0.005737,0.00293,0.0065,0.010864,0.004547,0.01523,0.002228,0.0083,0.0001221,0.0002136,-0.001038,0.001862,0.001038,0.004303,-0.001617,-0.0047,0.007965,0.007233,0.0112,0.00702,0.001221,0.00897,0.001923,0.0017395,-9.155e-05,-0.0001831,-0.001923,-0.0001526,-0.001099
-0.004852,0.000519,0.00238,-0.001007,0.006683,0.006836,0.00354,0.0029,0.00406,0.0003967,0.0008545,0.0006714,0.00403,0.004303,0.003174,0.005646,0.01071,0.004578,0.01868,0.002228,0.007782,0.0003052,-0.003998,-0.002441,0.002258,0.0002747,0.00586,-0.0006714,-0.003082,0.007996,0.00589,0.0087,0.005707,0.001465,0.00885,0.002228,0.002228,0.0001526,0.0001221,-0.001709,0.0001221,-0.0003052
-0.003662,0.001831,0.0001221,0.0003357,0.00644,0.006165,0.003662,0.002441,0.003754,0.0007324,0.0007935,0.0006104,0.00418,0.003113,0.003357,0.00525,0.010284,0.004364,0.02081,0.002106,0.007385,0.0003052,-0.006775,-0.003754,0.0029,-0.0003052,0.006653,0.0003357,-0.001221,0.007965,0.00467,0.00589,0.004425,0.001648,0.00818,0.002563,0.00241,0.0004272,0.0003967,-0.001495,0.0003967,0.0002747
-0.002777,0.002869,-0.001648,0.00177,0.00644,0.005737,0.003693,0.002045,0.003174,0.001038,0.000763,0.0006104,0.00415,0.002014,0.00354,0.00522,0.00949,0.00406,0.02124,0.001892,0.00714,-3.05e-05,-0.00769,-0.004547,0.003387,-0.000763,0.00641,0.001038,0.000519,0.00815,0.003632,0.00354,0.003326,0.001831,0.00714,0.002838,0.002563,0.000946,0.0006104,-0.001251,0.0006714,0.0008545
-0.002258,0.003876,-0.002625,0.00299,0.006653,0.005463,0.003662,0.001587,0.002594,0.001434,0.0007324,0.00058,0.003967,0.000702,0.00354,0.00528,0.00833,0.00357,0.02014,0.001587,0.00699,-0.001099,-0.00702,-0.004913,0.003632,-0.001068,0.00531,0.001404,0.001709,0.008606,0.002838,0.001892,0.002594,0.001892,0.006012,0.003052,0.00296,0.001404,0.0007324,-0.000946,0.001038,0.001434
-0.002167,0.004944,-0.00296,0.003967,0.006866,0.00528,0.00354,0.001282,0.001892,0.002014,0.0007935,0.000519,0.003693,-0.0007935,0.003479,0.004852,0.006775,0.003021,0.01804,0.001282,0.00699,-0.002502,-0.005432,-0.00467,0.003357,-0.001068,0.00357,0.001434,0.002106,0.00934,0.00238,0.001038,0.002045,0.002014,0.00464,0.003143,0.00357,0.002045,0.0007324,-0.0005493,0.001251,0.001953
-0.002197,0.006012,-0.003143,0.00461,0.00708,0.005554,0.003296,0.001129,0.001343,0.002594,0.0007935,0.000641,0.003265,-0.002533,0.003387,0.00415,0.005188,0.002533,0.01578,0.001251,0.00705,-0.003937,-0.003906,-0.00412,0.002777,-0.001007,0.001648,0.001129,0.001831,0.01044,0.002045,0.0007935,0.001556,0.002136,0.003479,0.003113,0.004333,0.002625,0.000824,-0.0001526,0.001312,0.002533
-0.001984,0.00714,-0.003357,0.004974,0.00717,0.006226,0.003021,0.000977,0.001038,0.003143,0.0008545,0.000641,0.002594,-0.004456,0.003174,0.003204,0.003845,0.002075,0.01367,0.001404,0.00714,-0.00479,-0.002838,-0.003479,0.001892,-0.000977,-0.0001526,0.000824,0.001099,0.01163,0.001495,0.000641,0.00119,0.002258,0.00232,0.003082,0.005127,0.003174,0.0009155,0.0003967,0.00119,0.003143
-0.001221,0.00818,-0.003815,0.00525,0.006775,0.00717,0.002716,0.000977,0.0008545,0.003479,0.000885,0.0006104,0.001923,-0.006195,0.00296,0.00241,0.0029,0.001831,0.01224,0.001831,0.00711,-0.004913,-0.002502,-0.002777,0.000946,-0.000977,-0.001251,0.000702,0.0005493,0.012665,0.0008545,0.0002441,0.0006714,0.002228,0.001068,0.00293,0.005676,0.003632,0.001129,0.001007,0.001068,0.003632
0.0001221,0.00897,-0.004395,0.005676,0.006134,0.00827,0.002533,0.000977,0.000885,0.00351,0.0008545,0.0006714,0.001221,-0.007507,0.002716,0.002136,0.002441,0.001617,0.0116,0.00238,0.00699,-0.003815,-0.002869,-0.002258,0.0002747,-0.001129,-0.001495,0.001007,0.000519,0.013336,-9.155e-05,-0.000702,0.0,0.002228,-0.0004578,0.002777,0.005707,0.003876,0.001434,0.001465,0.000763,0.00406
0.001801,0.00937,-0.00479,0.00647,0.005188,0.00937,0.002258,0.001007,0.000977,0.003204,0.0009155,0.000702,0.0003967,-0.00818,0.00238,0.002289,0.002289,0.001556,0.011566,0.002808,0.00659,-0.001862,-0.003754,-0.001923,-9.155e-05,-0.001251,-0.001007,0.001678,0.001251,0.013275,-0.00116,-0.00235,-0.0007935,0.002197,-0.002136,0.002594,0.005524,0.003876,0.001709,0.001953,0.000519,0.004272
0.003448,0.009094,-0.0047,0.0076,0.00406,0.0105,0.002136,0.000977,0.000977,0.002808,0.000977,0.0007324,-0.0003357,-0.00815,0.001953,0.002777,0.002228,0.001678,0.01181,0.003204,0.006012,0.0004272,-0.004547,-0.001465,0.0,-0.001495,-9.155e-05,0.002686,0.002655,0.01227,-0.002258,-0.004456,-0.0017395,0.002045,-0.003845,0.00238,0.004974,0.003632,0.001984,0.002441,0.0004578,0.004303
0.004578,0.0083,-0.003662,0.0087,0.0029,0.011444,0.001984,0.001038,0.001068,0.00232,0.001007,0.000702,-0.000885,-0.007538,0.001282,0.003235,0.002197,0.001678,0.01184,0.003448,0.00537,0.002625,-0.00476,-0.001099,0.0002747,-0.001648,0.000763,0.003845,0.004303,0.01019,-0.003296,-0.00647,-0.002716,0.001892,-0.005493,0.002075,0.004456,0.003357,0.002075,0.002686,0.0004272,0.00409
0.005188,0.006958,-0.001831,0.00964,0.001801,0.0123,0.001831,0.001038,0.001038,0.001923,0.001007,0.000641,-0.001312,-0.006317,0.000641,0.003418,0.002106,0.00177,0.01129,0.003632,0.005005,0.00403,-0.00412,-0.000519,0.000763,-0.001862,0.001038,0.004852,0.005737,0.007416,-0.00406,-0.00809,-0.00354,0.001617,-0.00653,0.001862,0.003998,0.003021,0.002045,0.002747,0.0005493,0.003601
0.005493,0.005493,0.000763,0.00992,0.000763,0.01276,0.0017395,0.001007,0.001007,0.001526,0.001099,0.000641,-0.001617,-0.004913,-9.155e-05,0.003387,0.001862,0.001709,0.00995,0.003876,0.005005,0.004578,-0.002686,0.0002136,0.001129,-0.002106,0.0004578,0.005493,0.0065,0.004303,-0.004517,-0.00879,-0.003998,0.001434,-0.006927,0.001678,0.00351,0.002594,0.001923,0.002625,0.000641,0.002838
0.005524,0.00403,0.003754,0.00903,0.0,0.01254,0.001648,0.001007,0.001007,0.00116,0.001099,0.0005493,-0.001862,-0.003448,-0.0007324,0.003174,0.001495,0.001648,0.00787,0.00412,0.005157,0.004395,-0.0007324,0.001251,0.001343,-0.002167,-0.0005493,0.00586,0.00638,0.001495,-0.004547,-0.008545,-0.00409,0.001251,-0.006927,0.001556,0.00293,0.002075,0.001678,0.002258,0.0006714,0.00177
0.005646,0.002747,0.006744,0.00708,-0.0009155,0.011536,0.001587,0.001038,0.001068,0.0008545,0.001129,0.000519,-0.001831,-0.00238,-0.001282,0.002747,0.000977,0.001526,0.005615,0.004425,0.005188,0.003723,0.001373,0.002686,0.001312,-0.002014,-0.001373,0.005676,0.005493,-0.000641,-0.004333,-0.007507,-0.003845,0.001129,-0.00647,0.001526,0.00235,0.001648,0.001434,0.00177,0.0005493,0.0006104
0.00583,0.0017395,0.00922,0.004547,-0.0017395,0.00961,0.001495,0.001099,0.001221,0.000641,0.001129,0.0004578,-0.0017395,-0.001526,-0.001709,0.002167,9.155e-05,0.001404,0.003876,0.004852,0.004974,0.00299,0.003052,0.00415,0.001068,-0.0017395,-0.001587,0.005188,0.004333,-0.002136,-0.003876,-0.00589,-0.003235,0.001007,-0.005707,0.001434,0.001678,0.001129,0.001282,0.001251,0.0003357,-0.0003662
0.006073,0.0009155,0.01099,0.001678,-0.00235,0.006897,0.001495,0.001221,0.001373,0.0004578,0.001068,0.0004272,-0.001617,-0.001007,-0.001831,0.00119,-0.001129,0.001373,0.00296,0.00534,0.004456,0.002869,0.003937,0.005646,0.001038,-0.001617,-0.000977,0.004517,0.003174,-0.003174,-0.003235,-0.00421,-0.002441,0.000977,-0.004913,0.001373,0.001068,0.0006714,0.00119,0.0008545,0.0003052,-0.0009155
0.006287,9.155e-05,0.012085,-0.001038,-0.002808,0.003784,0.001404,0.001312,0.001526,0.000519,0.001038,0.0003357,-0.001404,-0.000641,-0.001923,-0.0003052,-0.002472,0.001282,0.003021,0.00589,0.00351,0.003326,0.00412,0.006897,0.001038,-0.001556,0.0004883,0.003815,0.00241,-0.00412,-0.002655,-0.003021,-0.0017395,0.001099,-0.00409,0.001312,0.0006104,0.0001831,0.001038,0.0005493,0.0003052,-0.001038
0.006256,-0.001068,0.012634,-0.003265,-0.003174,0.0004578,0.001404,0.001404,0.001709,0.0004578,0.000885,0.0002441,-0.00116,-0.0002747,-0.001831,-0.002106,-0.003815,0.00119,0.003601,0.006348,0.002502,0.004303,0.003784,0.007782,0.001404,-0.001678,0.002197,0.003235,0.002167,-0.00525,-0.002197,-0.00235,-0.001251,0.001099,-0.003174,0.00119,0.0004272,-0.0001831,0.000885,0.0001526,0.0003967,-0.0006714
0.006012,-0.00241,0.01285,-0.005035,-0.003448,-0.00296,0.001495,0.001495,0.001892,0.0004272,0.0007324,0.0001831,-0.000885,0.0003052,-0.001617,-0.003754,-0.0047,0.001038,0.00406,0.006744,0.001556,0.005554,0.003448,0.00818,0.002075,-0.001984,0.003662,0.002686,0.002167,-0.00659,-0.001862,-0.002197,-0.000946,0.00116,-0.002167,0.001038,0.0004272,-0.0004578,0.0007324,0.0,0.000702,-0.0001221
0.005585,-0.003693,0.012726,-0.006348,-0.003754,-0.00638,0.001465,0.001434,0.001862,0.0003357,0.0006104,0.0001221,-0.0006714,0.00119,-0.001373,-0.004852,-0.004883,0.0007935,0.00409,0.006927,0.000763,0.006805,0.003387,0.00836,0.002869,-0.002167,0.004578,0.002228,0.00241,-0.00772,-0.001617,-0.002258,-0.000885,0.001129,-0.001099,0.000885,0.00058,-0.000641,0.000519,-0.0001221,0.0009155,0.0004578
0.004883,-0.00467,0.0123,-0.007385,-0.00412,-0.00964,0.001343,0.001404,0.00177,0.0002136,0.0004578,0.0001221,-0.0004272,0.002075,-0.001007,-0.005096,-0.004395,0.0003967,0.003265,0.006836,0.0001221,0.007507,0.003784,0.00845,0.003601,-0.002106,0.00461,0.00177,0.002533,-0.00839,-0.001373,-0.002075,-0.0007935,0.001129,-6.104e-05,0.0007324,0.000763,-0.0006104,0.0003052,-0.0001831,0.00116,0.000977
0.003937,-0.004913,0.011444,-0.00821,-0.004517,-0.012665,0.001282,0.001343,0.001556,0.0002441,0.0002747,0.0001831,-0.0002136,0.003021,-0.0006714,-0.004333,-0.00357,-9.155e-05,0.001587,0.00653,-0.0004272,0.007385,0.00464,0.008545,0.00406,-0.001709,0.00412,0.001251,0.002289,-0.00821,-0.000885,-0.001373,-0.00058,0.001038,0.0008545,0.0006104,0.001007,-0.000519,6.104e-05,-3.05e-05,0.00119,0.00116
0.002716,-0.004272,0.01022,-0.00885,-0.00473,-0.01511,0.00116,0.001221,0.001282,0.0002747,0.0001831,0.0002136,3.05e-05,0.003693,-0.0002747,-0.003082,-0.002716,-0.000519,-0.000641,0.00589,-0.0009155,0.00644,0.00583,0.00882,0.004272,-0.001129,0.003387,0.000702,0.001709,-0.00717,-0.0001221,-3.05e-05,-3.05e-05,0.001007,0.001801,0.000519,0.001404,-0.0002747,-0.0001526,0.0001831,0.001312,0.001221
0.001282,-0.0029,0.008545,-0.009155,-0.00473,-0.01663,0.000977,0.00116,0.000946,0.0004272,0.0001526,0.0002747,0.0002441,0.00409,6.104e-05,-0.001831,-0.002197,-0.000885,-0.003082,0.00522,-0.001343,0.004974,0.006927,0.009094,0.00406,-0.00058,0.002777,3.05e-05,0.000763,-0.005096,0.000702,0.0017395,0.000763,0.0009155,0.002625,0.0004883,0.001801,0.0,-0.0003052,0.0005493,0.001373,0.001129
-0.0003357,-0.001221,0.00641,-0.009094,-0.004333,-0.01712,0.000702,0.001068,0.0007324,0.0006104,-3.05e-05,0.0004272,0.000519,0.00418,0.0002747,-0.001007,-0.002197,-0.00116,-0.00528,0.004517,-0.001678,0.003265,0.00775,0.00925,0.003479,-0.0002747,0.00235,-0.000763,-0.0001526,-0.002747,0.0017395,0.003632,0.001648,0.0008545,0.00351,0.0004883,0.002136,0.0003052,-0.0003967,0.001038,0.001465,0.000977
-0.001648,0.0001831,0.003998,-0.00864,-0.003662,-0.01663,0.0004578,0.001068,0.0006104,0.0007324,-6.104e-05,0.0004883,0.0007324,0.004242,0.000519,-0.0004883,-0.002502,-0.001404,-0.006927,0.003754,-0.0017395,0.001953,0.007965,0.00885,0.002808,-0.0004578,0.002014,-0.001404,-0.000885,-0.0002136,0.002594,0.005157,0.002655,0.0008545,0.004303,0.00058,0.002533,0.000519,-0.0003052,0.001556,0.001617,0.000885
-0.002625,0.0008545,0.001617,-0.007996,-0.002777,-0.0155,0.0002136,0.00116,0.0004883,0.0006104,0.0,0.0006104,0.0007935,0.004242,0.0006104,-0.0003052,-0.002808,-0.001617,-0.007507,0.003143,-0.001678,0.001373,0.007782,0.007996,0.002228,-0.001038,0.00177,-0.001984,-0.001373,0.00235,0.003296,0.006195,0.00354,0.000885,0.004974,0.000641,0.002625,0.000763,-0.0001221,0.002136,0.001678,0.000763
-0.003143,0.0006714,-0.000519,-0.00711,-0.001862,-0.01401,-0.0001526,0.001251,0.0005493,0.0001831,-0.0001221,0.0007324,0.000824,0.004547,0.0007935,-0.0001831,-0.002838,-0.001678,-0.00702,0.002594,-0.001465,0.001556,0.00705,0.006714,0.001709,-0.001709,0.001587,-0.002258,-0.001526,0.00464,0.003723,0.006866,0.00418,0.000946,0.00531,0.0007324,0.002502,0.000885,3.05e-05,0.002533,0.001678,0.000641
-0.003265,-9.155e-05,-0.002289,-0.006104,-0.001099,-0.01239,-0.0003967,0.001373,0.0006104,-0.0002747,-9.155e-05,0.0007935,0.0007324,0.004944,0.001007,0.0001221,-0.002655,-0.0017395,-0.005615,0.001862,-0.001221,0.002258,0.00592,0.00525,0.001465,-0.002289,0.00116,-0.00241,-0.001434,0.0065,0.003906,0.007202,0.00461,0.000977,0.005432,0.000763,0.002167,0.0009155,0.0003357,0.002808,0.001526,0.000641
-0.003204,-0.001099,-0.003601,-0.005127,-0.0006714,-0.01068,-0.000702,0.001434,0.0006714,-0.000641,-9.155e-05,0.000824,0.0006104,0.005463,0.00116,0.0002747,-0.00238,-0.001801,-0.003601,0.001068,-0.00116,0.003143,0.00476,0.003937,0.001251,-0.002625,0.0006104,-0.00238,-0.001221,0.00772,0.00403,0.007355,0.004852,0.001038,0.00522,0.000824,0.001862,0.0008545,0.0004578,0.00299,0.001434,0.000519
-0.003113,-0.001984,-0.004486,-0.00418,-0.0004883,-0.00882,-0.0009155,0.001312,0.0006714,-0.001007,-6.104e-05,0.000702,0.000519,0.006073,0.001129,9.155e-05,-0.001953,-0.001862,-0.001678,0.0002136,-0.001068,0.003693,0.003357,0.003204,0.00119,-0.002777,-3.05e-05,-0.002197,-0.001068,0.00821,0.00409,0.007538,0.005035,0.001129,0.004852,0.0009155,0.001587,0.000763,0.0004883,0.0029,0.00116,0.0002747
-0.003296,-0.002258,-0.005096,-0.003143,-0.0004272,-0.006683,-0.00119,0.001068,0.0005493,-0.001068,-0.0001831,0.000641,0.0003967,0.006653,0.00116,-0.0003662,-0.001587,-0.001984,-0.0002136,-0.0006714,-0.000977,0.003662,0.002258,0.00293,0.00119,-0.00293,-0.0005493,-0.001923,-0.0009155,0.00815,0.004303,0.00772,0.005066,0.00116,0.00461,0.000946,0.001282,0.0006104,0.0003357,0.002716,0.0007324,-0.0001526
