c3_1,c3_2,c3_3,d3_1,d3_2,d3_3,e3_1,e3_2,e3_3,f3_1,f3_2,f3_3,g3_1,g3_2,g3_3,a4_1,a4_2,a4_3,b3_1,b3_2,b3_3,c-3_1,c-3_2,c-3_3,d-3_1,d-3_2,d-3_3,f-3_1,f-3_2,f-3_3,g-3_1,g-3_2,g-3_3,a-4_1,a-4_2,a-4_3,c3_4,c3_5,d3_4,d3_5,e3_4,e3_5,f3_4,f3_5,g3_4,g3_5,a4_4,a4_5,b3_4,b3_5,c-3_4,c-3_5,d-3_4,d-3_5,f-3_4,f-3_5,g-3_4,g-3_5,a-4_4,a-4_5,b3_6,b3_7,e3_6,e3_7,f3_6,f3_7
0.009674,-0.007294,-0.00882,0.001709,-0.001007,0.000641,3.05e-05,0.000763,0.00525,0.02307,0.01114,0.02484,0.0007935,0.00583,0.006073,0.002625,-0.000946,-0.000702,0.010925,0.00806,0.005493,0.000885,0.00598,0.001556,-0.003326,-0.0003967,-0.00293,-0.001343,0.002808,-0.00821,0.006134,0.00638,0.01355,0.0002441,-0.002747,-0.001038,-0.004578,-0.00653,-0.001556,-0.000641,-0.0006714,0.005646,-0.004944,-0.00421,0.00241,-0.000977,-0.003052,0.00528,0.002228,0.00351,0.001953,0.004944,-0.001801,-0.004272,-0.0087,-0.006287,0.002136,0.01688,-0.001465,-0.0001831,0.002533,0.002777,-0.002045,-0.0007324,-0.012665,0.01065
0.0076,-0.00717,-0.00867,0.001526,-0.001129,0.0006104,-0.0004578,0.001404,0.00467,0.03168,0.01544,0.02826,0.001495,0.004456,0.00906,0.00296,0.001831,0.002075,0.010345,0.008026,0.00592,0.001221,0.006165,0.001801,-0.002533,0.00116,-0.003113,-0.0003357,0.003326,-0.00879,0.00845,0.007294,0.01862,-3.05e-05,-0.001709,0.0002441,-0.005005,-0.00647,-0.001007,-0.0004272,-0.001282,0.006683,-0.003204,-0.005432,0.003052,-0.0008545,-0.0007324,0.00647,0.001892,0.003265,0.001282,0.00531,0.0001221,-0.002625,-0.006317,-0.003296,0.00241,0.01883,0.0003967,0.001099,0.002472,0.003326,0.001129,0.002045,-0.013,0.01471
0.005188,-0.00531,-0.00818,0.001221,-0.001221,0.0004272,-0.0009155,0.00177,0.003876,0.0343,0.01752,0.02893,0.002258,0.002838,0.01221,0.00409,0.00464,0.00479,0.00946,0.007904,0.006622,0.001678,0.006653,0.002136,-0.001404,0.002228,-0.003418,0.001099,0.003601,-0.00873,0.01013,0.00812,0.02316,-9.16e-05,-0.001038,0.001526,-0.005432,-0.006714,-0.000519,-0.0001831,-0.001373,0.00705,-0.001984,-0.007477,0.0029,-0.0007935,0.002197,0.007294,0.00177,0.003021,0.0004578,0.005432,0.001587,-0.001282,-0.003754,-0.0004883,0.002228,0.0202,0.002258,0.002533,0.00232,0.003479,0.003876,0.004456,-0.009186,0.01468
0.00296,-0.002472,-0.007538,0.000885,-0.001251,0.0003357,-0.001312,0.001587,0.003357,0.03088,0.01608,0.02643,0.002869,0.001526,0.01459,0.006073,0.00659,0.006622,0.00842,0.00763,0.007355,0.002106,0.006897,0.00241,-9.16e-05,0.002869,-0.003418,0.002747,0.003601,-0.00711,0.01108,0.00879,0.02682,9.16e-05,-0.0005493,0.002808,-0.00583,-0.007233,-9.16e-05,0.0,-0.000519,0.006653,-0.001373,-0.009674,0.002045,-0.0008545,0.005463,0.007965,0.001678,0.002655,0.0002136,0.00534,0.002594,-0.0003052,-0.001617,0.001526,0.002228,0.0209,0.003662,0.003937,0.002197,0.003967,0.006012,0.006104,-0.001678,0.01306
0.001801,0.0004578,-0.006805,0.0004272,-0.001434,0.0002441,-0.001526,0.00116,0.003235,0.02368,0.01163,0.022,0.003235,0.001068,0.01547,0.008606,0.007385,0.00702,0.007355,0.007324,0.00787,0.00232,0.00656,0.002502,0.001251,0.003265,-0.0029,0.00461,0.003448,-0.005432,0.01178,0.009766,0.02911,0.000763,-0.0001221,0.003326,-0.006348,-0.00775,0.0004578,0.0003052,0.000824,0.005676,-0.000977,-0.01056,0.000824,-0.0007935,0.008484,0.00845,0.001404,0.002441,0.000702,0.005188,0.003113,0.0002136,-0.0001526,0.002777,0.002777,0.02118,0.004578,0.004974,0.001862,0.00421,0.007324,0.00708,0.007416,0.01178
0.001312,0.002106,-0.006317,-3.05e-05,-0.001556,9.16e-05,-0.001465,0.000824,0.003632,0.01654,0.006042,0.01727,0.003418,0.001678,0.01422,0.01102,0.006927,0.006195,0.006348,0.006958,0.00891,0.002228,0.00531,0.002563,0.002625,0.003845,-0.001892,0.006317,0.003326,-0.003326,0.0126,0.01102,0.03024,0.001831,0.0002441,0.00354,-0.006775,-0.00821,0.000885,0.000641,0.002197,0.00461,-0.000763,-0.00934,-0.00058,-0.0006104,0.01053,0.00891,0.001343,0.002106,0.002228,0.004974,0.003357,0.000641,0.000824,0.00354,0.004303,0.0214,0.004944,0.005554,0.001587,0.004364,0.00806,0.00757,0.01526,0.013275
0.001648,0.002228,-0.00589,-0.0004883,-0.00177,-9.16e-05,-0.00116,0.001099,0.004333,0.01102,0.001221,0.01361,0.00351,0.003143,0.01141,0.01245,0.005768,0.004303,0.0054,0.00659,0.00885,0.001984,0.003174,0.002441,0.003754,0.00464,-0.000519,0.008026,0.003448,-0.001648,0.01358,0.01236,0.03,0.002869,0.0007935,0.003021,-0.006866,-0.00824,0.001343,0.000946,0.003387,0.003632,-0.0001526,-0.006256,-0.001892,-0.0003662,0.01129,0.00931,0.001221,0.001923,0.00418,0.004547,0.003693,0.001282,0.001801,0.004364,0.00638,0.02136,0.004944,0.005707,0.00116,0.00467,0.00818,0.00772,0.0188,0.01901
0.002014,0.0009155,-0.005554,-0.000946,-0.001953,-0.0003052,-0.0009155,0.002075,0.004974,0.00876,-0.001251,0.0119,0.003693,0.004913,0.00827,0.012634,0.00461,0.002045,0.004272,0.006104,0.00906,0.001526,0.0004883,0.002106,0.00467,0.005615,0.000946,0.00949,0.003601,-0.0003662,0.0148,0.01361,0.02872,0.00409,0.00119,0.002441,-0.006836,-0.007782,0.001831,0.001282,0.003845,0.003143,0.001068,-0.001495,-0.002869,6.1e-05,0.0108,0.00958,0.001038,0.001923,0.00595,0.003845,0.00421,0.002197,0.003296,0.005585,0.00888,0.02106,0.00476,0.005615,0.000885,0.00473,0.00815,0.00787,0.01648,0.0281
0.002136,-0.001251,-0.0054,-0.001343,-0.002197,-0.0003967,-0.0007935,0.00357,0.005127,0.00943,-0.0003052,0.01132,0.003906,0.006348,0.006256,0.01166,0.003876,0.0003052,0.003265,0.005432,0.00833,0.001038,-0.00235,0.001709,0.00525,0.006622,0.002136,0.010864,0.003906,0.000885,0.01596,0.014465,0.02695,0.00464,0.001801,0.001831,-0.00656,-0.006805,0.002197,0.001556,0.003937,0.003082,0.0029,0.003723,-0.003632,0.00058,0.00946,0.00958,0.000946,0.001892,0.006866,0.00293,0.005035,0.003601,0.0058,0.007538,0.01132,0.02063,0.004578,0.005585,0.0006714,0.004883,0.00815,0.00839,0.01041,0.03876
0.001251,-0.002869,-0.005188,-0.001709,-0.00232,-0.0004578,-0.000885,0.005432,0.00461,0.01123,0.003754,0.01111,0.00421,0.00705,0.00638,0.009735,0.00412,-0.0003052,0.002441,0.00479,0.00769,0.000702,-0.004456,0.001282,0.005646,0.007416,0.003021,0.01245,0.004364,0.001801,0.0169,0.01486,0.0246,0.004913,0.002258,0.001465,-0.006073,-0.005463,0.002441,0.001678,0.003632,0.003632,0.00528,0.00879,-0.00403,0.00119,0.007935,0.00934,0.0007324,0.001923,0.006805,0.001709,0.006104,0.005096,0.00897,0.010284,0.013,0.01999,0.004883,0.005554,0.0004272,0.004578,0.008484,0.009094,0.003662,0.04752
0.0001526,-0.003662,-0.00479,-0.001953,-0.002472,-0.0005493,-0.00119,0.00699,0.003265,0.013306,0.00955,0.0112,0.00464,0.006958,0.00842,0.007538,0.004974,9.16e-05,0.001892,0.00406,0.006897,0.0003967,-0.0058,0.0007935,0.00592,0.007782,0.00351,0.01419,0.005096,0.003448,0.01712,0.01428,0.02219,0.00467,0.002594,0.00177,-0.0054,-0.00415,0.002625,0.001678,0.003204,0.004395,0.007996,0.0126,-0.00421,0.001526,0.006897,0.00891,0.000519,0.001862,0.00592,0.000763,0.007202,0.006622,0.012634,0.013275,0.013794,0.01883,0.005585,0.006012,0.0003967,0.004395,0.009,0.00989,-0.001038,0.05148
-0.001434,-0.003387,-0.00409,-0.002258,-0.002563,-0.0007324,-0.001526,0.007935,0.001556,0.01492,0.014404,0.01117,0.005188,0.0065,0.0119,0.005585,0.00592,0.001587,0.001709,0.003418,0.00589,0.0002441,-0.006287,0.0003967,0.006134,0.00769,0.00351,0.01645,0.00592,0.005157,0.01642,0.01297,0.02005,0.00415,0.00296,0.002472,-0.00476,-0.00299,0.002686,0.001556,0.003143,0.005066,0.010376,0.01465,-0.00415,0.0017395,0.006622,0.00818,0.0004272,0.001923,0.004364,0.0001221,0.007996,0.00775,0.01624,0.01648,0.013306,0.01733,0.00647,0.006714,0.0006104,0.00406,0.00943,0.01059,-0.0009155,0.0502
-0.003174,-0.001801,-0.003204,-0.00241,-0.002533,-0.0009155,-0.001831,0.00806,-0.0001221,0.01541,0.01596,0.010345,0.005768,0.005646,0.01526,0.004456,0.006714,0.003418,0.00177,0.002869,0.005524,0.0002747,-0.006104,9.16e-05,0.006348,0.00708,0.003448,0.01889,0.006714,0.00769,0.015076,0.01108,0.01788,0.003662,0.00296,0.003448,-0.004242,-0.00235,0.00241,0.001404,0.003326,0.005615,0.01163,0.0148,-0.003815,0.00177,0.00699,0.007202,0.0003052,0.001862,0.0029,0.0,0.008484,0.00836,0.0195,0.01932,0.012146,0.01563,0.007385,0.007538,0.000763,0.003418,0.00992,0.01102,0.003723,0.044
-0.004333,0.0001221,-0.002258,-0.002716,-0.002594,-0.001099,-0.001953,0.007202,-0.001404,0.01337,0.01315,0.00827,0.006256,0.005066,0.01703,0.003967,0.007202,0.005096,0.001984,0.002533,0.005096,0.0002747,-0.005707,-9.16e-05,0.00644,0.006073,0.003326,0.02109,0.007538,0.01001,0.01346,0.009155,0.01624,0.003113,0.003082,0.00418,-0.003906,-0.001984,0.002167,0.001129,0.003906,0.005768,0.01227,0.013916,-0.003235,0.001526,0.00763,0.006073,0.0,0.0017395,0.001617,0.0002136,0.008484,0.0087,0.02216,0.02179,0.010345,0.01367,0.008026,0.00836,0.0008545,0.003143,0.01004,0.01105,0.012024,0.035
-0.00479,0.002289,-0.001343,-0.002808,-0.002563,-0.001282,-0.0017395,0.0058,-0.001617,0.00809,0.00708,0.005676,0.00656,0.004883,0.01617,0.003876,0.00705,0.00595,0.002289,0.002228,0.005035,0.0003357,-0.005585,-0.0002136,0.00653,0.005035,0.003418,0.02286,0.00824,0.01239,0.01163,0.007385,0.01483,0.002869,0.002747,0.00467,-0.003723,-0.002075,0.001862,0.000885,0.00467,0.00534,0.01251,0.01282,-0.002441,0.00119,0.008026,0.005127,-9.16e-05,0.0017395,0.000763,0.0003662,0.007965,0.008575,0.02426,0.02359,0.00845,0.01129,0.00827,0.00879,0.000946,0.002441,0.009674,0.0105,0.02191,0.02625
-0.004303,0.003937,-0.000519,-0.00299,-0.002594,-0.001495,-0.001373,0.00412,-0.000763,0.001221,0.0003662,0.002686,0.00644,0.005066,0.01297,0.003723,0.00589,0.005615,0.00241,0.002045,0.004974,0.0002747,-0.006012,-0.0003052,0.00641,0.003998,0.003815,0.02396,0.00879,0.01453,0.01001,0.006042,0.013275,0.002625,0.002472,0.004517,-0.003662,-0.00232,0.001404,0.000519,0.005463,0.004547,0.01218,0.01233,-0.001465,0.000824,0.00766,0.004303,-0.0003357,0.001556,9.16e-05,0.0001221,0.00705,0.00839,0.0257,0.02444,0.00717,0.008545,0.00784,0.00867,0.000885,0.00235,0.00876,0.00943,0.02997,0.01984
-0.003021,0.004883,0.0,-0.003113,-0.002502,-0.001587,-0.0007935,0.002808,0.000763,-0.00534,-0.004913,3.05e-05,0.006073,0.005646,0.00867,0.003174,0.003906,0.004242,0.002289,0.001831,0.00467,0.0001221,-0.00699,-0.0003052,0.006073,0.003052,0.004333,0.02435,0.00928,0.01614,0.00879,0.00531,0.01114,0.002563,0.001984,0.003723,-0.003662,-0.002625,0.0008545,0.0002136,0.006042,0.00357,0.01166,0.01309,-0.0001831,0.000702,0.00644,0.003815,-0.0005493,0.001556,-0.000641,-0.0006714,0.00586,0.00806,0.02655,0.02466,0.006165,0.005615,0.006958,0.007935,0.0007935,0.002075,0.007233,0.00787,0.0352,0.01718
-0.001221,0.005188,0.0003967,-0.003235,-0.002502,-0.001648,-0.0002441,0.002045,0.00235,-0.00958,-0.006958,-0.001068,0.00528,0.006195,0.00473,0.002075,0.001465,0.002258,0.001801,0.001404,0.003967,-0.0001221,-0.0083,-0.0004272,0.00534,0.002563,0.004913,0.02429,0.00961,0.01804,0.00775,0.004913,0.008026,0.00238,0.001343,0.002625,-0.00357,-0.002716,0.0003052,-9.16e-05,0.006287,0.002594,0.01111,0.01514,0.001221,0.000763,0.004547,0.003693,-0.0006714,0.001526,-0.001556,-0.002014,0.004486,0.0076,0.02661,0.02414,0.006042,0.002686,0.005768,0.006927,0.000763,0.001862,0.00537,0.006134,0.0363,0.018
9.16e-05,0.00464,0.0007324,-0.003265,-0.002502,-0.001709,0.0002136,0.001953,0.003357,-0.00931,-0.005096,0.0003052,0.004395,0.006653,0.00241,0.0003052,-0.000885,0.00058,0.0008545,0.0006714,0.00293,-0.0004578,-0.00952,-0.000641,0.004456,0.002075,0.0054,0.02377,0.010345,0.01889,0.006836,0.00473,0.003998,0.002075,0.000885,0.001068,-0.003357,-0.00241,-0.0002747,-0.0004272,0.006042,0.001984,0.0108,0.01779,0.00293,0.001038,0.002533,0.003876,-0.0008545,0.001526,-0.002502,-0.003448,0.003143,0.00711,0.02597,0.02338,0.00641,-0.0001221,0.00467,0.005585,0.0006714,0.001892,0.003632,0.004486,0.0334,0.02054
0.00119,0.003967,0.001038,-0.003265,-0.002533,-0.001678,0.0005493,0.00235,0.003479,-0.004364,-9.16e-05,0.004333,0.003632,0.006775,0.002258,-0.00177,-0.002777,-0.0003052,-0.0004272,-0.0002441,0.001648,-0.000885,-0.010284,-0.0008545,0.003387,0.001678,0.005524,0.02322,0.011444,0.02026,0.00583,0.004395,-0.000641,0.001343,0.0003052,-0.0001526,-0.002808,-0.001801,-0.0007935,-0.000824,0.0054,0.001831,0.01114,0.02023,0.004974,0.001434,0.0007324,0.00412,-0.001068,0.001495,-0.003601,-0.00461,0.001831,0.0065,0.02481,0.02249,0.006714,-0.002502,0.003723,0.004333,0.0007324,0.001617,0.002136,0.003052,0.02835,0.02252
0.001373,0.003326,0.001556,-0.003265,-0.002533,-0.0017395,0.0007324,0.003021,0.0029,0.003204,0.006348,0.008545,0.003204,0.006622,0.003937,-0.003632,-0.00351,-0.0001831,-0.002014,-0.001495,-0.0001831,-0.00116,-0.010284,-0.001099,0.002289,0.00119,0.005157,0.02261,0.012726,0.02097,0.004578,0.003754,-0.00537,0.0002747,-6.1e-05,-0.00116,-0.002197,-0.001007,-0.001343,-0.00116,0.004578,0.002075,0.01199,0.02151,0.00714,0.001923,-0.0004272,0.00409,-0.001221,0.001434,-0.004578,-0.00525,0.000763,0.0058,0.02332,0.02182,0.006805,-0.00421,0.003021,0.003326,0.000824,0.001617,0.000977,0.001862,0.02264,0.02231
0.0009155,0.003082,0.002228,-0.003174,-0.002441,-0.001617,0.000885,0.003662,0.001709,0.0101,0.01187,0.01108,0.003204,0.006317,0.00656,-0.004883,-0.00293,0.0007324,-0.003845,-0.00293,-0.002045,-0.001312,-0.00943,-0.001312,0.001251,0.0004272,0.004486,0.02185,0.01407,0.02118,0.003174,0.002716,-0.009,-0.0007935,-0.000641,-0.001556,-0.001312,0.0,-0.001892,-0.001556,0.003723,0.00241,0.013336,0.0209,0.00943,0.002228,-0.0006104,0.003998,-0.001312,0.001465,-0.005432,-0.00528,-0.0001526,0.004852,0.02191,0.02145,0.00647,-0.00531,0.002625,0.002472,0.000977,0.001465,0.0004272,0.00116,0.01797,0.01895
3.05e-05,0.003784,0.00296,-0.003082,-0.00232,-0.001587,0.000977,0.003967,0.0006104,0.01315,0.01538,0.01056,0.003601,0.00586,0.009155,-0.005066,-0.001434,0.002045,-0.005554,-0.004395,-0.00357,-0.001251,-0.007935,-0.001404,0.0004272,-0.000519,0.003479,0.02057,0.01514,0.02109,0.001526,0.001343,-0.01141,-0.001801,-0.001099,-0.001526,-0.0003052,0.000946,-0.002472,-0.002014,0.00296,0.002594,0.01468,0.01892,0.011444,0.00241,-0.0001831,0.00351,-0.001556,0.001434,-0.006012,-0.00479,-0.0009155,0.003815,0.0206,0.02103,0.005432,-0.00589,0.002258,0.001862,0.00116,0.00119,0.0004272,0.000702,0.01569,0.01291
-0.0003662,0.005432,0.00357,-0.003113,-0.002167,-0.001434,0.001129,0.003693,-3.05e-05,0.01172,0.0162,0.00705,0.00418,0.00534,0.01099,-0.00421,0.0004272,0.003052,-0.006897,-0.0058,-0.005188,-0.001068,-0.006256,-0.001404,-0.0003357,-0.001678,0.002502,0.0187,0.01575,0.02002,-9.155e-05,0.0001221,-0.01245,-0.002441,-0.001678,-0.001404,0.0004272,0.001404,-0.003113,-0.002472,0.00241,0.002502,0.015594,0.01608,0.01297,0.002594,0.000702,0.0029,-0.001648,0.001404,-0.006226,-0.00415,-0.001526,0.002655,0.01917,0.02026,0.003998,-0.00595,0.001892,0.001099,0.00119,0.001251,0.000702,0.0003967,0.01642,0.005432
-0.0002747,0.007507,0.00412,-0.003113,-0.001984,-0.001221,0.001434,0.003235,-0.0002747,0.006256,0.014404,0.00177,0.00482,0.004852,0.011475,-0.00232,0.001831,0.003479,-0.007935,-0.00705,-0.006317,-0.0007935,-0.00482,-0.001251,-0.000977,-0.002869,0.001678,0.01651,0.0155,0.01923,-0.001648,-0.000977,-0.0123,-0.002594,-0.002228,-0.001251,0.001068,0.001556,-0.003662,-0.002808,0.001831,0.002014,0.01547,0.01309,0.0137,0.002838,0.0017395,0.002258,-0.001709,0.001312,-0.006195,-0.003662,-0.002197,0.001465,0.01746,0.01892,0.002167,-0.00583,0.001404,0.0003967,0.001282,0.000977,0.001129,9.155e-05,0.01926,-0.001709
0.0007324,0.00925,0.004364,-0.003021,-0.001709,-0.001099,0.001648,0.002594,9.16e-05,-0.0003357,0.01108,-0.003265,0.00537,0.004517,0.01062,9.16e-05,0.00241,0.003204,-0.008514,-0.007996,-0.007233,-0.0006104,-0.003906,-0.001068,-0.001587,-0.003937,0.000977,0.01395,0.01416,0.01791,-0.00299,-0.001587,-0.01138,-0.002167,-0.002594,-0.001526,0.001465,0.001343,-0.00415,-0.003113,0.001373,0.00119,0.01398,0.010895,0.0137,0.003174,0.002472,0.001709,-0.001801,0.001282,-0.00589,-0.003357,-0.002777,0.0003357,0.01541,0.01697,0.0009155,-0.005463,0.0007324,-0.0004883,0.001312,0.001099,0.001343,-0.0001221,0.02322,-0.00656
0.00241,0.010254,0.004364,-0.0029,-0.001465,-0.0009155,0.001923,0.002106,0.0003662,-0.004913,0.007202,-0.00638,0.005524,0.004425,0.00897,0.00235,0.002106,0.00235,-0.008606,-0.008545,-0.007996,-0.0004883,-0.003632,-0.0009155,-0.002289,-0.00467,0.000519,0.01123,0.012146,0.01678,-0.003998,-0.001434,-0.009796,-0.001495,-0.00296,-0.001923,0.001556,0.0009155,-0.00464,-0.003387,0.001129,0.0002441,0.0112,0.009705,0.013214,0.003632,0.002686,0.001373,-0.001862,0.001282,-0.00528,-0.00293,-0.003326,-0.0006714,0.013,0.01456,-3.05e-05,-0.00482,-0.0002441,-0.001556,0.001312,0.001038,0.001526,-0.0003357,0.02661,-0.00888
0.003845,0.01016,0.00406,-0.002777,-0.001282,-0.0007935,0.002228,0.0017395,0.0003967,-0.006104,0.00403,-0.00641,0.005554,0.004456,0.006714,0.00403,0.001282,0.001526,-0.00806,-0.00873,-0.00809,-0.0004578,-0.003906,-0.000763,-0.00296,-0.005005,0.0001221,0.00864,0.00989,0.01553,-0.004547,-0.0007324,-0.0083,-0.000763,-0.003021,-0.002838,0.001465,0.0003052,-0.005005,-0.00354,0.000824,-0.00058,0.00769,0.00946,0.01224,0.00403,0.002472,0.001221,-0.001953,0.00119,-0.004578,-0.002686,-0.003754,-0.001495,0.010315,0.0119,-0.0001831,-0.003876,-0.001434,-0.002686,0.00119,0.001099,0.001465,-0.0005493,0.02759,-0.00864
0.005463,0.009,0.003479,-0.002716,-0.001068,-0.0006104,0.00238,0.001678,6.1e-05,-0.003693,0.002289,-0.003448,0.00525,0.004517,0.004333,0.004486,0.0005493,0.001007,-0.00699,-0.00833,-0.00836,-0.0005493,-0.004364,-0.0005493,-0.00357,-0.005035,-0.0002441,0.00647,0.00809,0.013824,-0.004486,0.0004272,-0.006775,-0.0001221,-0.00296,-0.003662,0.001251,-0.0001831,-0.00528,-0.003723,0.0004883,-0.001038,0.00464,0.00961,0.01105,0.004486,0.001831,0.001221,-0.002045,0.00119,-0.003693,-0.002228,-0.003967,-0.002136,0.00766,0.00934,0.0002747,-0.002625,-0.002502,-0.003662,0.001129,0.001099,0.001099,-0.000763,0.02539,-0.00653
0.006165,0.00711,0.002869,-0.002502,-0.0009155,-0.0004578,0.002472,0.001831,-0.0009155,0.00058,0.001984,0.00058,0.004974,0.0047,0.002747,0.003876,0.0002441,0.001099,-0.00534,-0.00757,-0.00827,-0.0006104,-0.00479,-0.000641,-0.00421,-0.00479,-0.000702,0.004852,0.006836,0.01239,-0.00415,0.001678,-0.005768,0.0002441,-0.002716,-0.00412,0.001038,-0.0003357,-0.0054,-0.003784,9.16e-05,-0.001129,0.002686,0.00925,0.00964,0.004883,0.001007,0.00119,-0.002136,0.001068,-0.0029,-0.0017395,-0.003937,-0.002594,0.005432,0.00702,0.0007935,-0.001282,-0.003479,-0.004364,0.00116,0.0009155,0.000641,-0.000946,0.02069,-0.003662
0.006317,0.005005,0.002167,-0.002289,-0.0007324,-0.0002441,0.00238,0.001892,-0.00238,0.00473,0.003021,0.003998,0.004547,0.00479,0.002441,0.002563,0.000763,0.001801,-0.003296,-0.00641,-0.008026,-0.000641,-0.00467,-0.0006104,-0.004852,-0.004517,-0.00119,0.00357,0.006317,0.010254,-0.003326,0.00296,-0.00537,0.00058,-0.002441,-0.004242,0.000702,-0.0003052,-0.005432,-0.003906,-0.0004578,-0.0009155,0.002289,0.00818,0.00827,0.005066,0.0003052,0.001007,-0.002258,0.001038,-0.00235,-0.001282,-0.00357,-0.002869,0.003601,0.005035,0.001801,0.0001526,-0.00409,-0.00464,0.001068,0.000946,0.0001221,-0.001068,0.01437,-0.001831
0.005432,0.003082,0.001434,-0.002136,-0.0004883,-3.05e-05,0.002136,0.001709,-0.003906,0.006775,0.004913,0.005157,0.00403,0.004852,0.00351,0.001129,0.00177,0.0029,-0.001099,-0.005066,-0.007202,-0.0005493,-0.003937,-0.0005493,-0.00531,-0.004333,-0.001923,0.002625,0.006317,0.00842,-0.00238,0.00406,-0.005127,0.0006714,-0.002045,-0.003632,0.0005493,-3.05e-05,-0.00531,-0.003937,-0.001038,-0.0004578,0.003326,0.006256,0.006958,0.005157,6.1e-05,0.00058,-0.002472,0.0009155,-0.002045,-0.0006714,-0.002838,-0.002869,0.002167,0.00357,0.002441,0.001648,-0.00418,-0.004425,0.001007,0.0004883,-3.05e-05,-0.001221,0.008484,-0.001862
0.0047,0.0017395,0.0009155,-0.002045,-0.0002441,0.0001831,0.001923,0.001343,-0.00531,0.00589,0.006805,0.003906,0.003754,0.00479,0.005676,0.0002136,0.00299,0.00406,0.001282,-0.003662,-0.00638,-0.0003967,-0.002655,-0.0004883,-0.005554,-0.004364,-0.002655,0.001862,0.00656,0.00641,-0.001648,0.00476,-0.00531,0.0006104,-0.001556,-0.002655,0.0004578,0.0003662,-0.005005,-0.003967,-0.001556,-3.05e-05,0.004944,0.003601,0.0058,0.005005,0.0001831,9.16e-05,-0.002655,0.000763,-0.001862,-0.0001526,-0.001953,-0.002716,0.001038,0.00235,0.002808,0.002808,-0.003937,-0.003784,0.000977,0.0002441,-6.104e-05,-0.001343,0.004517,-0.003876
0.003815,0.000977,0.0003662,-0.002045,6.1e-05,0.0003662,0.001648,0.0004578,-0.006134,0.003143,0.007324,0.001099,0.00354,0.00464,0.007782,0.0002136,0.003876,0.005005,0.003418,-0.002106,-0.005096,-6.1e-05,-0.001099,-0.0003662,-0.005615,-0.004364,-0.003235,0.001068,0.006622,0.00467,-0.000977,0.00522,-0.005157,0.0009155,-0.001221,-0.001251,0.0004883,0.00058,-0.0047,-0.003906,-0.001709,0.0003357,0.006073,0.0008545,0.004913,0.0047,0.0006714,-0.00058,-0.002869,0.0005493,-0.001892,0.0001221,-0.001221,-0.002441,6.104e-05,0.001312,0.003021,0.003754,-0.003448,-0.002838,0.001007,-6.104e-05,0.0,-0.001434,0.003204,-0.00708
0.003235,0.0004883,0.0,-0.002014,0.0003357,0.0005493,0.001465,-0.0006104,-0.006256,-0.0006104,0.005615,-0.002289,0.003448,0.004333,0.009186,0.001404,0.004395,0.00534,0.005157,-0.0006714,-0.003265,0.0002441,0.0004578,-0.0001221,-0.005432,-0.004456,-0.00354,0.0001831,0.006042,0.00354,-0.00058,0.005432,-0.004364,0.001129,-0.0007324,6.1e-05,0.0004272,0.00058,-0.00421,-0.003723,-0.001526,0.0004578,0.00583,-0.0017395,0.004333,0.004395,0.001282,-0.001221,-0.003204,0.0002747,-0.002014,0.0003662,-0.00058,-0.002228,-0.000977,0.0001221,0.003052,0.004578,-0.00293,-0.001923,0.001068,-0.0004272,0.0002441,-0.001434,0.00476,-0.010284
0.003082,0.0002747,-0.0004578,-0.001953,0.00058,0.0006104,0.001404,-0.001923,-0.005676,-0.00403,0.002167,-0.00473,0.00357,0.003906,0.009155,0.00296,0.004242,0.005005,0.00644,0.000824,-0.001892,0.00058,0.001587,0.0002747,-0.005157,-0.004486,-0.003693,-0.0008545,0.00479,0.001831,-3.05e-05,0.005615,-0.002472,0.001587,-0.0003967,0.001038,0.0003357,0.0003662,-0.003754,-0.00357,-0.001068,0.0003357,0.003967,-0.00351,0.003876,0.003876,0.001678,-0.001709,-0.003387,3.05e-05,-0.002136,0.0003967,-0.0001831,-0.001984,-0.002197,-0.00119,0.003265,0.005524,-0.002441,-0.00119,0.001129,-0.000641,0.0004883,-0.001343,0.007263,-0.01315
0.002594,-0.000641,-0.000824,-0.001923,0.0007324,0.000702,0.001404,-0.003143,-0.00461,-0.006012,-0.001831,-0.005066,0.003693,0.003632,0.00772,0.004425,0.003418,0.00421,0.00714,0.002167,0.0002441,0.001007,0.002136,0.00058,-0.00476,-0.00421,-0.003448,-0.002441,0.0029,0.0004578,0.0003052,0.00595,0.0003052,0.002136,0.0,0.0017395,9.16e-05,-0.0001831,-0.003326,-0.003357,-0.0004272,0.0002441,0.000763,-0.004303,0.003357,0.003479,0.001953,-0.001953,-0.003662,-0.0003052,-0.002014,0.0002441,-0.0001221,-0.001953,-0.00354,-0.00299,0.00354,0.006622,-0.002136,-0.000824,0.001129,-0.0007935,0.0006714,-0.001251,0.00937,-0.013885
