c3_1,c3_2,c3_3,d3_1,d3_2,d3_3,e3_1,e3_2,e3_3,f3_1,f3_2,f3_3,g3_1,g3_2,g3_3,a4_1,a4_2,a4_3,b3_1,b3_2,b3_3,c-3_1,c-3_2,c-3_3,d-3_1,d-3_2,d-3_3,f-3_1,f-3_2,f-3_3,g-3_1,g-3_2,g-3_3,a-4_1,a-4_2,a-4_3,c3_4,c3_5,d3_4,d3_5,e3_4,e3_5,f3_4,f3_5,g3_4,g3_5,a4_4,a4_5,b3_4,b3_5,c-3_4,c-3_5,d-3_4,d-3_5,f-3_4,f-3_5,g-3_4,g-3_5,a-4_4,a-4_5,b3_6,b3_7,e3_6,e3_7,f3_6,f3_7
0.004547,-0.03333,-0.04,0.01117,0.015594,0.011536,-0.00058,0.007294,-0.04178,-0.0862,0.038,-0.1045,-0.1598,0.05035,-0.03293,-0.0685,-0.05856,-0.00595,-0.1026,-0.07794,-0.07837,-0.02914,0.05215,-0.0371,-0.005157,0.003296,0.0002747,-0.0969,-0.0684,0.2087,-0.06805,0.01569,-0.0936,-0.12024,-0.11383,-0.1855,-0.09045,-0.1069,0.00806,0.001831,-0.0647,0.00867,0.2393,0.3477,-0.0618,0.01724,-0.00412,-0.1404,-0.03055,-0.02002,0.079,0.0528,-0.0349,0.01974,-0.1101,0.05066,0.04855,-0.2205,-0.0707,-0.1059,-0.03683,-0.0224,-0.0841,-0.11127,0.3271,0.0583
0.03165,-0.01572,-0.0643,0.006897,0.01337,0.00845,-0.02057,-0.04227,0.004272,-0.1373,0.01111,-0.1487,-0.1742,0.0491,-0.01953,-0.0723,-0.0594,-0.02579,-0.1087,-0.083,-0.09436,-0.0452,0.03754,-0.0441,-0.03122,-0.03284,-0.01733,-0.1562,-0.11426,0.096,-0.1111,-0.02264,-0.1418,-0.1699,-0.1785,-0.2318,-0.10876,-0.12305,0.002167,-0.000824,-0.10474,0.003021,0.1888,0.289,-0.1089,0.0398,-0.04944,-0.1658,-0.03238,-0.02353,0.0477,0.02423,-0.0572,-0.004517,-0.1794,-0.00589,0.02713,-0.2634,-0.115,-0.1539,-0.0349,-0.02148,-0.0584,-0.0802,0.267,-0.3438
0.03357,0.0008545,-0.0775,0.001617,0.00806,0.00421,-0.04178,-0.09143,0.02124,-0.1902,-0.0343,-0.1874,-0.1672,0.04962,-0.00922,-0.072,-0.05814,-0.0421,-0.11096,-0.0842,-0.10474,-0.059,0.002258,-0.0515,-0.0543,-0.0637,-0.03107,-0.204,-0.1497,-0.03824,-0.1417,-0.0622,-0.1847,-0.206,-0.2263,-0.258,-0.1129,-0.1194,-0.00476,-0.004913,-0.1401,-0.01486,0.1088,0.1738,-0.1736,0.0322,-0.0842,-0.1826,-0.03107,-0.02417,-0.003387,-0.01843,-0.0805,-0.02634,-0.2292,-0.07764,-0.00238,-0.2876,-0.1484,-0.1901,-0.03268,-0.01877,-0.07043,-0.0854,0.1553,-0.729
0.011444,0.006287,-0.0771,-0.00293,0.001312,-0.001007,-0.05765,-0.1313,0.0105,-0.2468,-0.079,-0.2278,-0.1506,0.04315,-0.01068,-0.0654,-0.057,-0.05478,-0.10175,-0.0761,-0.10657,-0.0708,-0.04684,-0.0601,-0.07227,-0.0856,-0.03888,-0.2294,-0.1713,-0.1669,-0.1606,-0.1013,-0.2339,-0.224,-0.2502,-0.2612,-0.1007,-0.0986,-0.01251,-0.01013,-0.1665,-0.03836,0.02078,0.05933,-0.2223,-0.001282,-0.1085,-0.1926,-0.02823,-0.02234,-0.05783,-0.061,-0.0982,-0.04163,-0.2654,-0.1537,-0.0431,-0.3003,-0.1669,-0.2086,-0.02853,-0.01465,-0.1098,-0.1223,0.0969,-0.954
-0.01608,0.01743,-0.06506,-0.00589,-0.005463,-0.005646,-0.0648,-0.1549,-0.02505,-0.2625,-0.1101,-0.2408,-0.1208,0.03067,-0.01593,-0.06192,-0.05225,-0.06445,-0.08264,-0.0644,-0.0979,-0.08044,-0.08826,-0.0681,-0.0814,-0.0985,-0.041,-0.2286,-0.1757,-0.2524,-0.1744,-0.1356,-0.2896,-0.2211,-0.246,-0.2444,-0.07275,-0.06824,-0.02103,-0.01578,-0.1771,-0.06082,-0.04916,-0.03714,-0.252,-0.05148,-0.11926,-0.1907,-0.02295,-0.0188,-0.1135,-0.1026,-0.1063,-0.0506,-0.2747,-0.2164,-0.0752,-0.3042,-0.1714,-0.2094,-0.02136,-0.01166,-0.1471,-0.1582,0.08057,-0.979
-0.0439,0.03107,-0.0438,-0.006195,-0.01056,-0.009125,-0.05997,-0.1556,-0.0549,-0.2261,-0.11346,-0.2101,-0.0868,0.007782,-0.01944,-0.0608,-0.04523,-0.06506,-0.05518,-0.04565,-0.0779,-0.08606,-0.1144,-0.074,-0.0813,-0.1017,-0.03818,-0.2015,-0.1659,-0.3003,-0.1875,-0.1606,-0.351,-0.1987,-0.2191,-0.2102,-0.03815,-0.03677,-0.0282,-0.01999,-0.1758,-0.07654,-0.09094,-0.12366,-0.2489,-0.0974,-0.1212,-0.1777,-0.01474,-0.012726,-0.1494,-0.1227,-0.10846,-0.05325,-0.27,-0.2532,-0.0984,-0.304,-0.1638,-0.196,-0.01248,-0.00705,-0.1675,-0.1786,0.0611,-0.802
-0.0506,0.05286,-0.02106,-0.003906,-0.01248,-0.01071,-0.04468,-0.1318,-0.06433,-0.1345,-0.085,-0.1373,-0.06287,-0.01944,-0.01828,-0.06177,-0.0384,-0.0599,-0.02426,-0.02084,-0.04953,-0.0869,-0.1118,-0.0755,-0.07336,-0.0979,-0.03244,-0.1526,-0.1401,-0.3018,-0.2065,-0.1775,-0.4146,-0.163,-0.1769,-0.1659,-0.006165,-0.01318,-0.03333,-0.0216,-0.1611,-0.0815,-0.0936,-0.1621,-0.2034,-0.11975,-0.11975,-0.1572,-0.005554,-0.004364,-0.1584,-0.12354,-0.10596,-0.05145,-0.2471,-0.251,-0.11774,-0.2988,-0.1492,-0.1731,-0.000519,-0.003204,-0.1676,-0.1832,0.01239,-0.529
-0.03195,0.0819,-0.005005,0.0,-0.01117,-0.00955,-0.02219,-0.0947,-0.04825,0.006042,-0.03275,-0.01758,-0.03787,-0.0488,-0.003052,-0.0634,-0.02838,-0.04968,0.00818,0.003204,-0.01779,-0.0825,-0.0821,-0.0718,-0.0598,-0.08984,-0.02585,-0.08905,-0.1105,-0.269,-0.223,-0.183,-0.4678,-0.1205,-0.1284,-0.1187,0.01971,0.000702,-0.03464,-0.0206,-0.1329,-0.0761,-0.0707,-0.1627,-0.1534,-0.11945,-0.11707,-0.1333,0.00525,0.003479,-0.1436,-0.1044,-0.0981,-0.04733,-0.21,-0.2103,-0.1232,-0.288,-0.132,-0.1456,0.01184,0.001831,-0.127,-0.1477,-0.0686,-0.2556
0.003174,0.0987,0.001984,0.004517,-0.007324,-0.006622,0.001343,-0.05457,-0.002625,0.142,0.02448,0.1117,-0.01373,-0.0674,0.01608,-0.0589,-0.01999,-0.0374,0.03607,0.02823,0.01462,-0.07446,-0.04355,-0.0647,-0.04514,-0.0779,-0.02011,-0.01855,-0.0797,-0.2292,-0.2322,-0.1826,-0.4968,-0.0796,-0.08386,-0.07385,0.03653,0.007324,-0.03168,-0.01724,-0.10596,-0.0616,-0.06775,-0.166,-0.08704,-0.0968,-0.1128,-0.1115,0.01419,0.01053,-0.10846,-0.072,-0.0875,-0.04266,-0.1548,-0.139,-0.1239,-0.2695,-0.11584,-0.12,0.02686,0.00592,-0.06,-0.0822,-0.1738,-0.012024
0.04404,0.0936,0.002502,0.007935,-0.00232,-0.00238,0.01794,-0.01587,0.05298,0.255,0.06128,0.229,0.0177,-0.07745,0.0411,-0.05103,-0.01105,-0.02481,0.05536,0.04785,0.03723,-0.0659,-0.004974,-0.05603,-0.0319,-0.0686,-0.01593,0.0486,-0.04797,-0.1885,-0.2296,-0.1764,-0.495,-0.0487,-0.04935,-0.0397,0.04544,0.0101,-0.02612,-0.0137,-0.08276,-0.04382,-0.1124,-0.1975,-0.04086,-0.06158,-0.1067,-0.08984,0.02203,0.01511,-0.0729,-0.0418,-0.0756,-0.03998,-0.07806,-0.05923,-0.1259,-0.2327,-0.102,-0.09894,0.03738,0.00955,0.011444,-0.00891,-0.3208,0.1028
