c3_1,c3_2,d3_1,d3_2,e3_1,e3_2,f3_1,f3_2,g3_1,g3_2,a3_1,a3_2,b3_1,b3_2,d-3_1,d-3_2,d-3_3,e-3_1,e-3_2,e-3_3,g-3_1,g-3_2,g-3_3,a-3_1,a-3_2,a-3_3,b-3_1,b-3_2,b-3_3
0.03772,0.05212,0.1067,0.0664,0.0555,0.03458,0.1868,0.1727,0.0912,0.0669,0.0884,0.05905,0.1221,-0.0141,-0.06384,-0.0724,-0.1508,-0.0381,-0.00946,0.03668,0.01584,0.01743,-0.0764,-0.06122,0.0076,0.01007,-0.001373,-0.01062,0.0004272
0.04312,0.0528,0.1418,0.07996,0.1207,0.08057,0.1903,0.198,0.1108,0.07587,0.07654,0.07007,0.132,-0.001984,-0.0663,-0.067,-0.1515,-0.0356,-0.01056,0.0714,0.01938,0.01532,-0.04492,-0.04163,0.010345,0.0108,0.00058,-0.00659,-0.001862
0.05243,0.0535,0.1703,0.08887,0.1632,0.129,0.1885,0.1996,0.118,0.07825,0.06238,0.07104,0.1307,0.006927,-0.0665,-0.05972,-0.1493,-0.03406,-0.01187,0.08887,0.0232,0.00986,-0.001282,-0.04147,0.01135,0.00925,0.0002747,-0.004395,-0.004333
0.06024,0.05057,0.19,0.11646,0.1876,0.1661,0.1659,0.1865,0.1143,0.07166,0.04678,0.06384,0.1252,0.02286,-0.0648,-0.05124,-0.1422,-0.03156,-0.013214,0.08185,0.02634,0.0006714,0.0403,-0.05948,0.010925,0.00641,-0.002869,-0.0029,-0.006348
0.0724,0.04486,0.1903,0.1528,0.1832,0.1682,0.1443,0.1597,0.0945,0.06073,0.03177,0.0507,0.12134,0.03543,-0.0613,-0.0435,-0.1282,-0.02676,-0.01318,0.0527,0.02948,-0.01141,0.0735,-0.0846,0.00937,0.003662,-0.007202,-0.003021,-0.008514
0.0819,0.03598,0.1979,0.1843,0.1522,0.1606,0.0998,0.1223,0.0626,0.04163,0.0228,0.03336,0.10693,0.04187,-0.05716,-0.03674,-0.105,-0.02249,-0.01297,0.007782,0.03253,-0.02405,0.0923,-0.1046,0.007294,0.002106,-0.01132,-0.00528,-0.0101
0.0968,0.02347,0.1671,0.2045,0.11566,0.0715,0.02771,0.0811,0.02646,0.01685,0.01724,0.013885,0.0991,0.04822,-0.05246,-0.0314,-0.07697,-0.01794,-0.01175,-0.0382,0.0346,-0.03427,0.0868,-0.10803,0.005554,0.001831,-0.013245,-0.00882,-0.01114
0.10156,0.01022,0.1022,0.1962,0.0415,-0.05396,-0.04517,0.02234,-0.00964,-0.00922,0.01837,-0.00711,0.0952,0.04404,-0.04758,-0.0275,-0.0462,-0.013794,-0.01068,-0.0672,0.03568,-0.03964,0.07104,-0.09143,0.00473,0.003906,-0.01199,-0.01471,-0.01123
0.0967,-0.00403,0.0317,0.1672,-0.01755,-0.1973,-0.1279,-0.0386,-0.03052,-0.0365,0.01962,-0.02747,0.0957,0.04013,-0.04242,-0.02374,-0.02036,-0.01065,-0.010956,-0.0675,0.03613,-0.03928,0.0477,-0.05936,0.005524,0.007446,-0.00775,-0.01984,-0.01013
0.0938,-0.01724,-0.0709,0.1196,-0.10876,-0.3284,-0.1779,-0.0967,-0.03656,-0.05017,0.0188,-0.0438,0.10645,0.0339,-0.037,-0.01971,0.00116,-0.007935,-0.01294,-0.03598,0.03714,-0.03406,0.02017,-0.0202,0.00772,0.01135,-0.001068,-0.02386,-0.008484
0.082,-0.02802,-0.1414,0.0674,-0.241,-0.3901,-0.2115,-0.1499,-0.02383,-0.0502,0.0285,-0.0539,0.11206,0.02258,-0.03143,-0.01489,0.01459,-0.00473,-0.01733,0.01425,0.0388,-0.02594,0.001007,0.0137,0.010345,0.01517,0.005493,-0.02448,-0.006622
0.0668,-0.037,-0.216,0.02823,-0.3477,-0.4321,-0.2302,-0.1776,0.002014,-0.0375,0.03717,-0.05603,0.1181,0.014404,-0.02545,-0.00839,0.01974,0.0002441,-0.02032,0.0642,0.04047,-0.01721,-0.011475,0.03336,0.01242,0.01752,0.01007,-0.01978,-0.00467
0.05283,-0.04315,-0.2695,-0.000824,-0.4648,-0.407,-0.2083,-0.1927,0.02518,-0.01117,0.05103,-0.0503,0.1218,-0.001221,-0.0188,-0.001312,0.02466,0.005585,-0.02228,0.0958,0.04196,-0.0101,-0.00867,0.03717,0.013336,0.0174,0.01108,-0.01163,-0.003082
0.03854,-0.048,-0.2607,-0.0199,-0.501,-0.347,-0.1799,-0.1833,0.04175,0.01569,0.0637,-0.03906,0.11725,-0.01743,-0.011505,0.006134,0.03015,0.009094,-0.02026,0.10004,0.04172,-0.005676,0.00412,0.02786,0.01254,0.015076,0.00888,-0.002441,-0.001678
0.03568,-0.0512,-0.2512,-0.0464,-0.4963,-0.2905,-0.1373,-0.1467,0.04666,0.04285,0.0791,-0.02457,0.1125,-0.03482,-0.003998,0.013,0.0387,0.009766,-0.013336,0.0753,0.03912,-0.004333,0.0184,0.01239,0.01053,0.01135,0.004944,0.006622,-0.000885
0.0343,-0.05225,-0.1931,-0.08936,-0.4543,-0.2155,-0.083,-0.10547,0.0417,0.0646,0.0946,-0.0087,0.1016,-0.05344,0.003143,0.01822,0.04886,0.007385,-0.00415,0.03204,0.0344,-0.005096,0.03836,0.0001526,0.00818,0.00833,0.001495,0.015594,-0.0002747
