c3_1,c3_2,d3_1,d3_2,e3_1,e3_2,f3_1,f3_2,g3_1,g3_2,a3_1,a3_2,b3_1,b3_2,d-3_1,d-3_2,d-3_3,e-3_1,e-3_2,e-3_3,g-3_1,g-3_2,g-3_3,a-3_1,a-3_2,a-3_3,b-3_1,b-3_2,b-3_3
0.002106,-0.04117,-0.01743,-0.03021,0.02518,0.04477,0.02689,-0.00116,0.01886,0.0234,-0.1294,0.008484,-0.0968,0.05072,-0.0001831,0.0004578,0.005005,-0.0017395,0.003876,0.01108,0.000763,0.0006714,-0.02164,0.00638,0.005188,0.006866,-0.001007,0.0004272,-0.000641
0.00824,-0.04068,-0.03668,-0.02509,0.02728,0.03943,0.01569,-0.01303,0.010895,0.01416,-0.0945,0.01175,-0.0443,0.0647,0.0003967,0.001129,0.004974,-0.002655,0.003662,0.004852,0.0004272,0.000519,-0.02313,0.00659,0.004883,0.006714,-0.001129,-0.0004578,-0.001129
0.0123,-0.03983,-0.0549,-0.02298,0.02551,0.0281,0.00421,-0.02176,0.001984,0.00354,-0.0576,0.01135,0.01797,0.0713,0.001068,0.001617,0.00531,-0.00299,0.003326,-0.002441,6.104e-05,0.0009155,-0.02277,0.006775,0.004425,0.00711,-0.00116,-0.001129,-0.001068
0.01297,-0.03867,-0.06915,-0.02689,0.02087,0.013885,-0.007385,-0.02777,-0.00717,-0.00653,-0.02618,0.00769,0.07104,0.0724,0.001678,0.001892,0.005157,-0.002686,0.002869,-0.00885,-0.0004578,0.001923,-0.02026,0.006775,0.003937,0.00787,-0.001221,-0.001709,-0.0006714
0.00885,-0.03738,-0.078,-0.03442,0.015594,0.001099,-0.01807,-0.03094,-0.01541,-0.01468,0.0008545,0.001678,0.1079,0.07214,0.002228,0.001923,0.003296,-0.00177,0.002441,-0.012695,-0.001129,0.003387,-0.015564,0.006653,0.00351,0.00882,-0.00119,-0.002075,-3.05e-05
0.002014,-0.03647,-0.0813,-0.04388,0.011536,-0.00641,-0.02661,-0.03128,-0.02194,-0.02112,0.02286,-0.00528,0.1215,0.07074,0.003082,0.002014,0.0003052,-0.0006714,0.002258,-0.01337,-0.001831,0.004913,-0.00882,0.006836,0.003326,0.00952,-0.001038,-0.00241,0.0004578
-0.007477,-0.0357,-0.0785,-0.05383,0.01105,-0.005676,-0.03214,-0.0296,-0.02637,-0.02615,0.04294,-0.01175,0.1074,0.069,0.003937,0.002075,-0.002625,-3.05e-05,0.002289,-0.011536,-0.002502,0.006195,-0.001282,0.00705,0.003235,0.00998,-0.000946,-0.002869,0.00058
-0.01797,-0.03488,-0.0713,-0.05984,0.01529,0.003601,-0.03342,-0.02576,-0.02823,-0.02951,0.06155,-0.01706,0.0781,0.0669,0.004913,0.002167,-0.004272,0.0001221,0.00235,-0.009125,-0.002808,0.00711,0.00537,0.007507,0.003265,0.01007,-0.000763,-0.003082,0.0002136
-0.02783,-0.0337,-0.0613,-0.0625,0.02417,0.01941,-0.03058,-0.01953,-0.02768,-0.0316,0.0738,-0.02112,0.0413,0.06204,0.00595,0.002441,-0.00409,-3.05e-05,0.002258,-0.007812,-0.002563,0.00757,0.009705,0.00812,0.003296,0.009766,-0.0006714,-0.003174,-0.0004272
-0.03705,-0.0319,-0.0506,-0.0604,0.03604,0.03836,-0.02402,-0.010284,-0.02509,-0.03195,0.0842,-0.02353,0.002625,0.05383,0.00699,0.002838,-0.0017395,-0.0002441,0.001892,-0.00867,-0.00177,0.00769,0.01102,0.008514,0.003296,0.00928,-0.0004272,-0.002808,-0.000977
-0.0443,-0.02917,-0.04028,-0.05386,0.04816,0.056,-0.0152,0.001892,-0.02109,-0.02966,0.0856,-0.02463,-0.03342,0.0437,0.007904,0.003235,0.002014,-0.0003662,0.001434,-0.011444,-0.00058,0.00757,0.00943,0.008575,0.003143,0.008514,-0.0002747,-0.001984,-0.001129
-0.0499,-0.02573,-0.03009,-0.04477,0.0586,0.0702,-0.005005,0.01599,-0.0163,-0.0242,0.0834,-0.02448,-0.06506,0.0311,0.008545,0.003723,0.00534,-0.0004272,0.001099,-0.014496,0.000885,0.007538,0.006165,0.0083,0.0029,0.00787,-6.104e-05,-0.001038,-0.000763
-0.05383,-0.02176,-0.02008,-0.03033,0.0656,0.0789,0.005585,0.03061,-0.010925,-0.01511,0.07324,-0.02313,-0.0877,0.01456,0.00885,0.00412,0.0076,-0.000519,0.001038,-0.01694,0.002563,0.00763,0.002533,0.00775,0.002777,0.007202,0.0001831,-3.05e-05,6.104e-05
-0.0559,-0.01788,-0.0083,-0.01297,0.0691,0.0819,0.01575,0.0441,-0.00537,-0.003662,0.0543,-0.02148,-0.0984,-0.004395,0.0087,0.004425,0.00842,-0.000946,0.001373,-0.01828,0.00418,0.00787,-0.0001526,0.006927,0.002655,0.00659,0.0004578,0.0006714,0.000885
-0.05707,-0.01465,0.003357,0.007202,0.07007,0.07996,0.0253,0.05524,-0.0003662,0.00839,0.0296,-0.01929,-0.09656,-0.02097,0.00809,0.0047,0.00772,-0.001617,0.001923,-0.01874,0.005768,0.00818,-0.001373,0.006012,0.002563,0.006134,0.0006714,0.001129,0.001495
-0.05658,-0.012115,0.01633,0.02985,0.0691,0.0731,0.0336,0.06287,0.003845,0.01932,-0.0029,-0.01617,-0.08234,-0.03174,0.00708,0.004944,0.006348,-0.00238,0.002289,-0.01889,0.00699,0.0083,-0.001495,0.005005,0.002655,0.005615,0.0009155,0.001495,0.001953
-0.0554,-0.01053,0.02731,0.0513,0.0663,0.0617,0.0402,0.0669,0.00659,0.02762,-0.03427,-0.0123,-0.06116,-0.03516,0.005737,0.00528,0.004974,-0.002838,0.002472,-0.0184,0.007996,0.00809,-0.000946,0.003937,0.002808,0.005066,0.00116,0.001923,0.002258
-0.05328,-0.00964,0.03308,0.07166,0.06116,0.0456,0.04443,0.0669,0.007324,0.0325,-0.063,-0.007965,-0.03763,-0.03018,0.004333,0.0058,0.003998,-0.002869,0.00232,-0.01642,0.008606,0.007263,-9.155e-05,0.002838,0.002869,0.00461,0.001343,0.002533,0.002472
-0.0499,-0.00937,0.03604,0.0879,0.0524,0.02515,0.0459,0.06396,0.00586,0.03363,-0.0813,-0.003265,-0.015015,-0.02176,0.00299,0.00644,0.003876,-0.002655,0.001984,-0.01224,0.009125,0.00598,0.001038,0.001831,0.002869,0.00418,0.001617,0.003052,0.002777
-0.0459,-0.009796,0.03412,0.0991,0.03958,0.00238,0.04437,0.0593,0.00232,0.03058,-0.09155,0.0009155,0.004883,-0.0159,0.001984,0.007202,0.004425,-0.002472,0.001678,-0.00598,0.00949,0.004395,0.003235,0.0009155,0.002869,0.003784,0.001831,0.003418,0.00296
-0.0408,-0.01068,0.03046,0.10535,0.02255,-0.02069,0.0396,0.05267,-0.002686,0.02374,-0.0929,0.00403,0.02078,-0.01675,0.001404,0.00809,0.005524,-0.002594,0.001282,0.001129,0.009674,0.002716,0.006622,6.104e-05,0.002777,0.003418,0.001984,0.00357,0.003021
-0.0355,-0.01184,0.0239,0.1036,0.003052,-0.04163,0.0316,0.04373,-0.008484,0.01492,-0.08606,0.00656,0.03085,-0.0245,0.001282,0.00894,0.00702,-0.003174,0.001099,0.007385,0.01001,0.001373,0.01123,-0.000763,0.002563,0.003052,0.002136,0.003326,0.0029
-0.03073,-0.01318,0.01434,0.09283,-0.01624,-0.05838,0.02045,0.03262,-0.01422,0.00464,-0.0725,0.00885,0.03775,-0.035,0.001617,0.00958,0.00867,-0.003876,0.000885,0.011536,0.01016,0.000641,0.01633,-0.001648,0.00235,0.002533,0.002197,0.003052,0.002625
-0.02673,-0.01474,0.006622,0.07184,-0.03357,-0.0704,0.00708,0.01883,-0.0195,-0.006744,-0.05252,0.01071,0.0396,-0.04428,0.002197,0.00989,0.01004,-0.004333,0.0007935,0.01312,0.01007,0.0006104,0.02112,-0.002533,0.002289,0.001984,0.002228,0.002808,0.00238
-0.02512,-0.0162,-0.003204,0.04144,-0.04715,-0.0772,-0.007294,0.002838,-0.02417,-0.0181,-0.0286,0.012146,0.03778,-0.0489,0.003082,0.009735,0.0108,-0.004333,0.0007935,0.01309,0.009705,0.00116,0.02487,-0.00351,0.002289,0.001434,0.002228,0.002716,0.002228
-0.02563,-0.01758,-0.01309,0.006226,-0.05664,-0.07904,-0.02173,-0.01364,-0.02841,-0.02914,-0.0003967,0.01318,0.03824,-0.0481,0.003815,0.00925,0.010254,-0.003876,0.000824,0.01315,0.00897,0.002106,0.02701,-0.004272,0.00241,0.001068,0.002228,0.00293,0.00235
-0.02802,-0.01883,-0.02267,-0.02966,-0.06186,-0.0759,-0.03458,-0.02881,-0.032,-0.03937,0.02838,0.013824,0.03888,-0.04465,0.004578,0.00833,0.00806,-0.003296,0.000946,0.01434,0.00784,0.003296,0.02774,-0.00476,0.002716,0.001007,0.002258,0.00296,0.002533
-0.0319,-0.0199,-0.03467,-0.06107,-0.0631,-0.06824,-0.04492,-0.04144,-0.03473,-0.04767,0.0554,0.01398,0.0388,-0.04163,0.00525,0.007263,0.00461,-0.002655,0.001007,0.01614,0.00656,0.00415,0.0274,-0.005035,0.00296,0.001129,0.00235,0.00296,0.002686
-0.03555,-0.02081,-0.04626,-0.08484,-0.06067,-0.0558,-0.0517,-0.05087,-0.0364,-0.05246,0.0752,0.01364,0.0379,-0.03998,0.00592,0.006134,0.000977,-0.002197,0.000977,0.01733,0.005035,0.0047,0.02661,-0.005157,0.003448,0.001434,0.00238,0.002869,0.002747
-0.0382,-0.02127,-0.05667,-0.1002,-0.05475,-0.03848,-0.05414,-0.05573,-0.03687,-0.05362,0.0861,0.012726,0.03677,-0.0394,0.006622,0.004944,-0.001617,-0.002014,0.0007935,0.0169,0.00357,0.0047,0.02518,-0.005127,0.003784,0.001801,0.002472,0.002747,0.002625
-0.03864,-0.02112,-0.06247,-0.10657,-0.04504,-0.01727,-0.05182,-0.05536,-0.0356,-0.05173,0.0846,0.01059,0.03412,-0.03668,0.007324,0.003693,-0.002533,-0.001831,0.0004272,0.01453,0.00238,0.004242,0.02307,-0.005005,0.00409,0.001984,0.002563,0.0029,0.002472
-0.0362,-0.02011,-0.06213,-0.1056,-0.03256,0.006287,-0.0448,-0.05048,-0.0324,-0.04666,0.073,0.00705,0.02719,-0.02814,0.00806,0.002563,-0.002014,-0.001556,0.0001221,0.010925,0.001465,0.003479,0.02002,-0.005005,0.004242,0.002106,0.002625,0.003052,0.00232
-0.03107,-0.01807,-0.05545,-0.0977,-0.01804,0.03021,-0.03403,-0.04156,-0.02734,-0.0386,0.05417,0.002533,0.01782,-0.01337,0.008484,0.001526,-0.00116,-0.00119,9.155e-05,0.0076,0.000824,0.002533,0.01593,-0.004883,0.004242,0.002045,0.002594,0.003418,0.00241
-0.02353,-0.014984,-0.0425,-0.08374,-0.002045,0.05286,-0.0203,-0.02957,-0.02075,-0.02835,0.02899,-0.002594,0.006866,0.005005,0.00867,0.00058,-0.0004578,-0.001038,0.0002441,0.005615,0.0002441,0.001648,0.01138,-0.00461,0.00409,0.001984,0.002655,0.00357,0.002563
-0.01459,-0.010956,-0.02661,-0.06464,0.01297,0.0728,-0.00482,-0.0159,-0.01297,-0.01682,0.00461,-0.007812,-0.00815,0.02261,0.00839,-0.0002136,-0.000763,-0.000946,0.0005493,0.005157,-0.0001831,0.0008545,0.006775,-0.004303,0.003967,0.002075,0.002625,0.003418,0.002625
-0.00528,-0.006134,-0.009705,-0.0399,0.02731,0.089,0.01105,-0.001984,-0.00467,-0.004547,-0.01663,-0.01187,-0.02289,0.0369,0.007446,-0.000946,-0.001923,-0.000977,0.0009155,0.005432,-0.000519,0.0003052,0.002838,-0.00409,0.003784,0.002441,0.002563,0.003143,0.002716
0.003845,-0.0007324,0.005493,-0.0108,0.04007,0.10095,0.02576,0.01126,0.003601,0.006866,-0.03113,-0.01437,-0.02927,0.04694,0.006165,-0.001648,-0.003418,-0.001068,0.001007,0.00531,-0.000977,-9.155e-05,-6.104e-05,-0.003998,0.003723,0.003082,0.002502,0.002777,0.002808
0.01218,0.005035,0.01764,0.02106,0.0508,0.10864,0.03806,0.02295,0.01132,0.01578,-0.03973,-0.01532,-0.02795,0.05283,0.004242,-0.00235,-0.004395,-0.0009155,0.000763,0.004333,-0.001587,-0.0003357,-0.002075,-0.004333,0.003662,0.003937,0.002472,0.002563,0.002747
0.01956,0.01077,0.0271,0.0519,0.05936,0.1116,0.04645,0.03204,0.0181,0.02188,-0.0437,-0.01489,-0.01862,0.05408,0.002106,-0.00296,-0.004242,-0.0004883,0.0003052,0.003174,-0.002441,-0.000519,-0.003357,-0.004913,0.00357,0.004974,0.00232,0.002625,0.002625
0.02539,0.01624,0.03363,0.0781,0.06287,0.11,0.0501,0.03824,0.02325,0.02518,-0.0444,-0.01355,-0.003418,0.05054,-0.0002136,-0.00354,-0.003326,0.0001221,-0.0001526,0.002686,-0.003387,-0.000824,-0.00415,-0.005646,0.003479,0.00592,0.002136,0.002808,0.002563
0.02927,0.02094,0.03833,0.0981,0.06287,0.1035,0.04877,0.0409,0.02634,0.02496,-0.0446,-0.0116,0.0083,0.0433,-0.002472,-0.003967,-0.002014,0.000641,-0.0004272,0.00351,-0.004364,-0.001312,-0.004852,-0.006073,0.003326,0.006683,0.001953,0.003021,0.00241
0.03064,0.0246,0.04126,0.1095,0.05865,0.0919,0.0427,0.03992,0.02744,0.02228,-0.043,-0.00925,0.01074,0.03333,-0.004456,-0.00421,-0.000824,0.000763,-0.00058,0.00537,-0.005096,-0.001831,-0.00589,-0.00598,0.003174,0.007263,0.00177,0.00299,0.002289
0.02905,0.02704,0.04156,0.1122,0.0499,0.075,0.0328,0.03513,0.02634,0.01822,-0.03775,-0.006683,0.00656,0.02249,-0.006012,-0.004242,-0.0001526,0.0004883,-0.0005493,0.00714,-0.0054,-0.002258,-0.00705,-0.00531,0.003052,0.007538,0.001587,0.0029,0.002075
0.02463,0.02829,0.0398,0.10754,0.0386,0.0527,0.02005,0.02722,0.02328,0.01395,-0.02716,-0.00357,-9.155e-05,0.01251,-0.007324,-0.00415,0.0002747,3.05e-05,-0.0005493,0.00766,-0.00525,-0.002594,-0.0087,-0.004242,0.002808,0.00766,0.001221,0.002625,0.002075
0.01749,0.0282,0.03488,0.09735,0.02432,0.02637,0.0058,0.01651,0.01874,0.00992,-0.013275,-0.0002136,-0.00653,0.004364,-0.00827,-0.003876,0.0,-0.0003967,-0.0006714,0.006226,-0.00461,-0.002563,-0.01074,-0.00293,0.002808,0.00757,0.001038,0.00241,0.00232
0.00845,0.02698,0.02661,0.0834,0.00833,-0.00241,-0.009,0.003937,0.01306,0.006348,0.002167,0.003235,-0.01013,-0.001556,-0.00891,-0.003632,-0.001221,-0.0005493,-0.000946,0.003143,-0.003662,-0.002228,-0.01276,-0.001801,0.002838,0.007446,0.000885,0.002258,0.002686
-0.0017395,0.02484,0.01547,0.06757,-0.008514,-0.03128,-0.02359,-0.009186,0.006775,0.003174,0.0159,0.00659,-0.01181,-0.006012,-0.0094,-0.003357,-0.003326,-0.000519,-0.00116,-0.0006104,-0.002838,-0.001648,-0.014465,-0.001007,0.0029,0.007324,0.000763,0.00232,0.003235
-0.01199,0.02197,0.001282,0.05054,-0.02502,-0.05783,-0.03714,-0.02179,0.0001831,-0.0003052,0.02682,0.00952,-0.01547,-0.00946,-0.009735,-0.003082,-0.00592,-0.0003662,-0.001251,-0.003754,-0.002167,-0.000824,-0.01514,-0.000702,0.003143,0.007355,0.000702,0.002502,0.003693
-0.02127,0.01874,-0.01422,0.03238,-0.0393,-0.07996,-0.04892,-0.0336,-0.006256,-0.003693,0.03506,0.01178,-0.02316,-0.01117,-0.00989,-0.002869,-0.0083,-0.0002441,-0.001312,-0.005737,-0.001862,3.05e-05,-0.01456,-0.000641,0.003387,0.007446,0.000641,0.002625,0.003967
-0.02875,0.01532,-0.02975,0.01346,-0.0504,-0.0962,-0.05835,-0.0444,-0.01221,-0.006317,0.04123,0.01294,-0.0325,-0.00983,-0.00958,-0.002686,-0.009155,-0.0003052,-0.001404,-0.006805,-0.001831,0.0008545,-0.0126,-0.000702,0.003601,0.00769,0.0006714,0.002655,0.003906
-0.03387,0.012024,-0.04416,-0.005646,-0.05707,-0.10583,-0.0647,-0.05353,-0.01752,-0.00818,0.04535,0.01318,-0.03882,-0.00354,-0.009186,-0.002472,-0.007996,-0.0006104,-0.001678,-0.007324,-0.002014,0.001526,-0.00983,-0.0006104,0.003754,0.00787,0.000702,0.002777,0.00357
-0.03604,0.009155,-0.05508,-0.02399,-0.05865,-0.10876,-0.0675,-0.0599,-0.02197,-0.009705,0.04596,0.012665,-0.0398,0.007294,-0.00885,-0.002228,-0.005127,-0.000977,-0.001892,-0.007446,-0.002045,0.001984,-0.006775,-0.0003357,0.003815,0.007812,0.0007324,0.002716,0.003326
-0.03528,0.006866,-0.06152,-0.04065,-0.05475,-0.1052,-0.066,-0.06235,-0.025,-0.010864,0.0436,0.0119,-0.03473,0.02008,-0.00888,-0.001984,-0.001495,-0.001251,-0.002258,-0.00717,-0.001831,0.002289,-0.004272,0.0001831,0.003693,0.00763,0.0007324,0.002747,0.003235
-0.03192,0.00537,-0.06216,-0.05472,-0.04562,-0.09576,-0.05984,-0.0597,-0.02649,-0.01141,0.03702,0.01065,-0.02368,0.03235,-0.00906,-0.001617,0.001678,-0.001434,-0.00238,-0.00638,-0.001282,0.002441,-0.002655,0.0007324,0.003632,0.007233,0.000824,0.002747,0.003326
-0.02658,0.00464,-0.0565,-0.06433,-0.03256,-0.08105,-0.04913,-0.05157,-0.02655,-0.011444,0.02762,0.009094,-0.010925,0.04193,-0.00882,-0.001068,0.003906,-0.001617,-0.00238,-0.005157,-0.0003052,0.00241,-0.001373,0.00116,0.00354,0.006866,0.0009155,0.002594,0.003754
-0.02032,0.00467,-0.04504,-0.06995,-0.01642,-0.06168,-0.03452,-0.03845,-0.02505,-0.01056,0.0162,0.007324,-0.001495,0.04785,-0.0076,-0.00058,0.005157,-0.001892,-0.002167,-0.003784,0.000702,0.002289,-0.0003052,0.001373,0.003418,0.006622,0.0008545,0.002289,0.00421
-0.01373,0.005432,-0.0285,-0.0714,0.001495,-0.03882,-0.01688,-0.02145,-0.02216,-0.00894,0.004456,0.00479,0.004425,0.05005,-0.005035,6.104e-05,0.006042,-0.002289,-0.001862,-0.002869,0.001862,0.002045,0.001129,0.001221,0.003387,0.006622,0.0008545,0.001953,0.004486
-0.00714,0.006714,-0.00906,-0.0693,0.01929,-0.01407,0.002472,-0.002441,-0.01794,-0.00708,-0.007996,0.002045,0.00647,0.04794,-0.001404,0.00058,0.007263,-0.002625,-0.0017395,-0.002716,0.002808,0.001892,0.003326,0.0007935,0.003418,0.006714,0.001038,0.001556,0.004547
-0.0002136,0.00833,0.01181,-0.0647,0.03577,0.01062,0.02173,0.01654,-0.01294,-0.005585,-0.02142,-0.0001831,0.0047,0.04135,0.002655,0.000946,0.00873,-0.002838,-0.00177,-0.0029,0.003479,0.001801,0.00595,0.0003052,0.003479,0.00699,0.001129,0.001373,0.004303
0.00708,0.01001,0.03256,-0.05768,0.04846,0.03326,0.0392,0.0338,-0.007385,-0.004883,-0.03378,-0.001617,0.001343,0.0303,0.006042,0.001282,0.01013,-0.00299,-0.002045,-0.002869,0.003815,0.001862,0.00885,-0.0001221,0.00351,0.007233,0.001312,0.001495,0.003998
0.01437,0.011566,0.05142,-0.04904,0.0561,0.05173,0.05322,0.04813,-0.001648,-0.00531,-0.04517,-0.002075,-0.00476,0.0166,0.00833,0.001404,0.01099,-0.002869,-0.002289,-0.001923,0.003906,0.001923,0.01132,-0.0002441,0.00351,0.007263,0.001373,0.001617,0.003693
0.02158,0.01279,0.0671,-0.0381,0.05774,0.0641,0.06244,0.0583,0.003937,-0.0065,-0.05414,-0.000946,-0.01251,0.002655,0.009,0.001556,0.01071,-0.002747,-0.00241,3.05e-05,0.003876,0.0017395,0.013245,-9.155e-05,0.003326,0.00711,0.001465,0.001892,0.003418
0.0281,0.01352,0.07837,-0.02509,0.05298,0.07,0.0658,0.0635,0.00894,-0.00757,-0.06033,0.001129,-0.01886,-0.009766,0.00815,0.001556,0.00928,-0.002808,-0.00232,0.00238,0.003784,0.001404,0.01425,0.0004578,0.003021,0.006622,0.001556,0.001923,0.003448
0.0334,0.01355,0.0847,-0.01083,0.04294,0.0695,0.06323,0.06323,0.01303,-0.00827,-0.06235,0.00412,-0.02234,-0.01965,0.00653,0.001587,0.00702,-0.00299,-0.002106,0.00406,0.003876,0.000763,0.014465,0.000977,0.002655,0.006104,0.001526,0.001862,0.00351
0.0373,0.01294,0.0856,0.00467,0.02844,0.06354,0.0552,0.058,0.01611,-0.00812,-0.0613,0.007507,-0.02109,-0.02615,0.00476,0.001556,0.00467,-0.003143,-0.00177,0.004303,0.00403,0.0,0.01404,0.001373,0.002228,0.00537,0.001556,0.0017395,0.003693
0.03952,0.011475,0.0808,0.02008,0.010895,0.05334,0.04257,0.04834,0.01807,-0.007507,-0.0572,0.01053,-0.01569,-0.02893,0.003357,0.001343,0.002808,-0.003082,-0.001526,0.003082,0.004333,-0.0008545,0.01309,0.001556,0.001862,0.00467,0.001495,0.001587,0.003906
0.04,0.00922,0.071,0.0344,-0.007935,0.04022,0.02664,0.03516,0.01904,-0.00653,-0.0489,0.01288,-0.00812,-0.02884,0.00238,0.0009155,0.001526,-0.0029,-0.001221,0.00119,0.00476,-0.001587,0.01163,0.001404,0.001587,0.00406,0.001556,0.0017395,0.00415
0.0388,0.006348,0.0571,0.04642,-0.02658,0.02539,0.00937,0.01987,0.0192,-0.00528,-0.03622,0.01431,-0.000702,-0.02646,0.001648,0.0003357,0.0004272,-0.00235,-0.001038,-0.0002747,0.005005,-0.001862,0.009796,0.000946,0.001251,0.003479,0.001434,0.002075,0.004395
0.03595,0.00299,0.03986,0.05548,-0.0436,0.00964,-0.007965,0.00351,0.01862,-0.003479,-0.01813,0.01511,0.00476,-0.02194,0.0008545,-0.0004272,-0.000824,-0.001678,-0.0007935,-0.0005493,0.005005,-0.001984,0.007996,0.0003967,0.001068,0.003082,0.001373,0.00241,0.004456
0.03192,-0.000519,0.02075,0.06155,-0.05804,-0.006287,-0.02396,-0.012695,0.01746,-0.001007,0.004303,0.015594,0.00867,-0.01605,-0.0002136,-0.001312,-0.002167,-0.001068,-0.000519,0.000519,0.004578,-0.0017395,0.006317,-0.0002441,0.0009155,0.002716,0.00119,0.002838,0.004333
0.02716,-0.003998,0.0006714,0.06396,-0.06934,-0.02182,-0.03763,-0.02756,0.01575,0.00177,0.02905,0.01584,0.01352,-0.01001,-0.001587,-0.002075,-0.003235,-0.0006714,-0.0003357,0.00238,0.003754,-0.001526,0.005035,-0.000977,0.000763,0.002533,0.001038,0.003143,0.00409
0.02225,-0.00711,-0.01889,0.0619,-0.0773,-0.03613,-0.04843,-0.0404,0.013885,0.004578,0.05328,0.01581,0.02112,-0.005066,-0.003204,-0.0029,-0.00403,-0.0003967,-0.0002747,0.00409,0.002777,-0.001404,0.004272,-0.001587,0.0006104,0.002258,0.000824,0.003326,0.003784
0.01758,-0.009705,-0.03693,0.0552,-0.08154,-0.04822,-0.05603,-0.05057,0.01187,0.007538,0.07495,0.01569,0.03192,-0.00235,-0.004486,-0.003632,-0.00403,-9.155e-05,-0.0002136,0.004852,0.001648,-0.001343,0.003937,-0.002258,0.0003967,0.001923,0.000641,0.003418,0.003418
0.01352,-0.0116,-0.05008,0.04355,-0.08154,-0.05664,-0.06036,-0.05792,0.00983,0.01062,0.09216,0.01474,0.04492,-0.001984,-0.00531,-0.00418,-0.00354,0.0001831,-0.0002136,0.00467,0.000519,-0.001526,0.003754,-0.002869,0.0002747,0.001526,0.0003052,0.003448,0.003296
0.01047,-0.01285,-0.05768,0.02753,-0.0767,-0.0605,-0.06125,-0.0622,0.00787,0.01364,0.10425,0.01248,0.05713,-0.003632,-0.005432,-0.00461,-0.002686,0.0003967,-0.0002441,0.003937,-0.0004578,-0.001648,0.003448,-0.003479,0.0001221,0.001038,-3.05e-05,0.003479,0.003357
0.008026,-0.013336,-0.06168,0.008606,-0.0667,-0.05942,-0.05856,-0.0635,0.006073,0.01605,0.10913,0.00891,0.0654,-0.006775,-0.004974,-0.004913,-0.002014,0.00058,-9.155e-05,0.003082,-0.001068,-0.0017395,0.003143,-0.003998,9.155e-05,0.0004883,-0.0002441,0.003296,0.00351
0.006348,-0.01315,-0.0597,-0.01166,-0.05145,-0.05298,-0.05258,-0.0613,0.004425,0.01749,0.1068,0.004364,0.0687,-0.01044,-0.003998,-0.005096,-0.001587,0.0005493,0.0002136,0.002045,-0.001495,-0.001709,0.002838,-0.004547,6.104e-05,9.155e-05,-0.0004883,0.003143,0.00354
0.00531,-0.01233,-0.05875,-0.03076,-0.03214,-0.0416,-0.04337,-0.05576,0.002686,0.01767,0.0979,-6.104e-05,0.0665,-0.013214,-0.00299,-0.005127,-0.001617,0.0003662,0.0003967,0.000977,-0.0017395,-0.001587,0.002625,-0.00479,0.0001221,-0.0001221,-0.0006714,0.002808,0.003326
0.00476,-0.010925,-0.0586,-0.0463,-0.01001,-0.02551,-0.03165,-0.0473,0.0009155,0.01614,0.0823,-0.003601,0.05902,-0.012634,-0.00232,-0.005066,-0.001984,6.104e-05,0.0006104,-0.0002136,-0.002014,-0.001282,0.002472,-0.004913,0.0002441,-0.0001526,-0.0008545,0.00241,0.00299
0.00476,-0.00894,-0.0571,-0.05637,0.01318,-0.006104,-0.01837,-0.0367,-0.000885,0.01318,0.0635,-0.006165,0.04852,-0.006866,-0.00235,-0.00482,-0.00241,-0.0001221,0.0005493,-0.001404,-0.002228,-0.0007935,0.002533,-0.005005,0.0002441,-3.05e-05,-0.000946,0.002136,0.002441
0.0054,-0.006744,-0.05472,-0.06033,0.03568,0.01462,-0.00473,-0.0249,-0.002686,0.00897,0.04373,-0.007507,0.03552,0.003845,-0.00296,-0.004425,-0.003021,-3.05e-05,0.0002136,-0.00238,-0.002533,-0.0003052,0.002686,-0.005066,0.0003052,0.0001831,-0.001038,0.001801,0.001892
0.0065,-0.004425,-0.0452,-0.05887,0.0564,0.03455,0.00815,-0.0126,-0.00403,0.00412,0.02545,-0.00775,0.02151,0.01733,-0.00406,-0.003906,-0.003906,0.0001526,-0.0001831,-0.002594,-0.002808,0.0001221,0.002625,-0.005157,0.0003052,0.0003357,-0.001038,0.001587,0.001343
0.00766,-0.002075,-0.03427,-0.05295,0.0734,0.05112,0.01947,-0.0004272,-0.004852,-0.0006714,0.00879,-0.007202,0.0083,0.03064,-0.005646,-0.003265,-0.005096,0.0004578,-0.00058,-0.002014,-0.003052,0.0004272,0.002533,-0.005127,0.0001831,0.0004272,-0.001038,0.001434,0.000946
0.0083,-0.0003357,-0.01932,-0.04367,0.0858,0.06274,0.02863,0.01111,-0.005005,-0.00461,-0.005737,-0.006042,-0.00351,0.04034,-0.00717,-0.002533,-0.006287,0.0006714,-0.000885,-0.001007,-0.003418,0.000702,0.00241,-0.005096,0.0001526,0.0003662,-0.001038,0.001007,0.0006104
0.00827,0.000824,-0.001312,-0.03177,0.09283,0.0686,0.03522,0.02133,-0.004913,-0.007324,-0.01724,-0.004456,-0.01306,0.04343,-0.00888,-0.001801,-0.007355,0.0006714,-0.00116,-0.0003357,-0.00357,0.000824,0.00235,-0.004852,6.104e-05,0.0003357,-0.001068,0.000702,0.0003052
0.00702,0.001312,0.01175,-0.01764,0.0956,0.06866,0.039,0.02954,-0.0047,-0.00882,-0.025,-0.0029,-0.01935,0.0392,-0.01016,-0.00119,-0.007935,0.00058,-0.001404,-0.000763,-0.003448,0.000824,0.002136,-0.004395,-3.05e-05,0.0002441,-0.001007,0.0001831,-3.05e-05
