a3_x,b3_y,c3_z
-0.001251,-0.003052,-0.00598
-0.001526,-0.001923,-0.003662
-0.001831,-0.0008545,-0.001648
-0.002106,6.104e-05,0.0
-0.00238,0.000946,0.001251
-0.002563,0.001648,0.002075
-0.002777,0.00232,0.002533
-0.003052,0.0029,0.002502
-0.003448,0.003204,0.002106
-0.003845,0.003448,0.001373
-0.00421,0.003448,0.0002747
-0.00461,0.003326,-0.001007
-0.004944,0.003082,-0.002197
-0.00525,0.002563,-0.003204
-0.005554,0.001984,-0.003845
-0.00595,0.001343,-0.00406
-0.00647,0.000641,-0.003723
-0.00702,-3.05e-05,-0.00293
-0.007538,-0.0007324,-0.0017395
-0.00809,-0.001434,-0.0002136
-0.008606,-0.002045,0.001404
-0.009094,-0.002655,0.003021
-0.00937,-0.003387,0.004425
-0.00955,-0.003998,0.005615
-0.00949,-0.004578,0.0065
-0.00928,-0.005127,0.006927
-0.00894,-0.005554,0.00699
-0.00842,-0.0058,0.00656
-0.00787,-0.00583,0.005493
-0.007263,-0.005768,0.003998
-0.006653,-0.005646,0.002014
-0.006012,-0.0054,-0.0001526
-0.00534,-0.005127,-0.00235
-0.00461,-0.004852,-0.004425
-0.003906,-0.004547,-0.006256
-0.003082,-0.00409,-0.00763
-0.00238,-0.003479,-0.00876
-0.001617,-0.002869,-0.00952
-0.000946,-0.002258,-0.01004
-0.0003967,-0.001587,-0.01019
3.05e-05,-0.000946,-0.01004
0.0003662,-0.0004578,-0.00961
0.0006104,-6.104e-05,-0.00894
0.0008545,0.0001526,-0.00806
0.001038,0.0002747,-0.00708
0.001312,0.0001526,-0.006012
0.001617,9.155e-05,-0.004852
0.001831,-9.155e-05,-0.003815
0.001892,-0.0002441,-0.002716
0.001801,-0.0004272,-0.001648
0.001556,-0.00058,-0.0006714
0.00119,-0.0006714,0.0001526
0.000702,-0.000763,0.001007
0.0001526,-0.000763,0.0017395
-0.0003662,-0.0007324,0.002502
-0.0007935,-0.00058,0.003296
-0.00119,-0.0005493,0.003937
-0.001526,-0.0004272,0.004547
-0.00177,-0.0003052,0.005005
-0.002045,-0.0002136,0.00537
-0.002289,-6.104e-05,0.005493
-0.002563,3.05e-05,0.005463
-0.00296,0.0001526,0.005127
-0.003387,0.0001831,0.00464
-0.003784,0.0001831,0.003937
-0.00415,3.05e-05,0.003021
-0.004517,-0.0001831,0.001953
-0.004944,-0.0003967,0.0006714
-0.0054,-0.000702,-0.0007935
-0.00589,-0.0009155,-0.00238
-0.006287,-0.001068,-0.00406
-0.006775,-0.001099,-0.0058
-0.007233,-0.001099,-0.007416
-0.007538,-0.001068,-0.009
-0.00787,-0.001038,-0.0105
-0.007935,-0.000977,-0.01184
-0.007904,-0.000977,-0.01303
-0.00769,-0.001038,-0.01395
-0.007416,-0.00116,-0.01471
-0.00702,-0.001343,-0.01511
-0.0065,-0.001434,-0.01529
-0.00595,-0.001709,-0.01523
-0.005463,-0.001953,-0.014984
-0.004944,-0.002289,-0.014435
-0.004272,-0.002686,-0.013885
-0.003784,-0.003143,-0.013214
-0.003052,-0.00354,-0.01233
-0.00241,-0.003876,-0.011475
-0.001709,-0.00418,-0.01068
-0.001007,-0.004395,-0.009796
-0.0003662,-0.004517,-0.009
0.0001831,-0.004425,-0.00833
0.000702,-0.004303,-0.00769
0.00119,-0.00406,-0.00705
0.001587,-0.003754,-0.00644
0.002045,-0.003479,-0.00583
0.002441,-0.003113,-0.005188
0.002808,-0.002808,-0.004486
0.003235,-0.002472,-0.003632
0.003693,-0.002167,-0.002747
0.00406,-0.00177,-0.001892
0.004395,-0.001495,-0.001007
0.00464,-0.001129,-0.0001526
0.00476,-0.0008545,0.000641
0.004913,-0.0005493,0.001434
0.004913,-0.0003662,0.001953
0.004974,-0.0001831,0.002472
0.005035,-9.155e-05,0.002869
0.005096,0.0,0.003235
0.005096,0.0001221,0.00351
0.005066,0.0003357,0.003784
0.005005,0.00058,0.00409
0.004913,0.000885,0.004456
0.00476,0.001251,0.00473
0.004547,0.001648,0.005127
0.004333,0.002014,0.005554
0.00409,0.00235,0.00598
0.003876,0.002655,0.00656
0.003693,0.00293,0.00711
0.003662,0.003235,0.00769
0.003601,0.003479,0.00818
0.00354,0.003815,0.008545
0.003632,0.00409,0.00867
0.003662,0.004303,0.008545
0.003754,0.00461,0.00818
0.003784,0.00479,0.00769
0.003967,0.004974,0.00717
0.00412,0.005127,0.00656
0.004333,0.0054,0.0058
0.004486,0.005585,0.00479
0.00464,0.0058,0.003601
0.00482,0.006012,0.002228
0.004852,0.006195,0.000763
0.004913,0.00638,-0.0007324
0.004883,0.0065,-0.002045
0.004852,0.00659,-0.003174
0.004883,0.006683,-0.00412
0.004944,0.006775,-0.00476
0.005035,0.006775,-0.005096
0.005127,0.006866,-0.005188
0.00531,0.006897,-0.005157
0.005524,0.006927,-0.004944
0.005707,0.006927,-0.004852
0.00589,0.006927,-0.004578
0.006042,0.006897,-0.004272
0.006134,0.006683,-0.003876
0.006165,0.006348,-0.003387
0.006226,0.006012,-0.002808
0.006317,0.005554,-0.002045
0.00638,0.005096,-0.001312
0.00644,0.00467,-0.0005493
0.00644,0.004303,0.0002747
0.00647,0.003937,0.001007
0.00644,0.003754,0.001801
0.006317,0.00351,0.002533
0.006256,0.003357,0.003265
0.006165,0.003265,0.00403
0.006042,0.003204,0.00473
0.00586,0.003174,0.005493
0.005646,0.003082,0.006073
