a3,b3,c3
-0.000519,-0.000824,0.001678
-0.000519,-0.000641,0.001129
-0.0006104,-0.0006104,0.0006104
-0.0006714,-0.0004883,9.155e-05
-0.000702,-0.0003052,-0.0003662
-0.000763,-0.0001526,-0.0007935
-0.000763,-0.0001221,-0.001099
-0.000763,0.0,-0.001404
-0.0007324,9.155e-05,-0.001648
-0.000702,0.0001526,-0.001831
-0.000641,0.0001831,-0.001984
-0.0006104,0.0003052,-0.002106
-0.00058,0.0003357,-0.002167
-0.000519,0.0002747,-0.002197
-0.0004578,0.0003357,-0.002075
-0.0003967,0.0003357,-0.001923
-0.0003052,0.0003357,-0.001678
-0.0003357,0.0003357,-0.001434
-0.0002747,0.0003662,-0.001221
-0.0002747,0.0003662,-0.001007
-0.0003357,0.0003357,-0.000946
-0.0003967,0.0003967,-0.0008545
-0.0003967,0.0004272,-0.000763
-0.0004883,0.000519,-0.0007324
-0.0006104,0.0005493,-0.0007324
-0.000641,0.00058,-0.00058
-0.000824,0.0006714,-0.0003662
-0.000824,0.000763,-0.0001526
-0.0008545,0.0007935,0.0003052
-0.000977,0.0008545,0.00058
-0.000977,0.0009155,0.000824
-0.000977,0.000977,0.001068
-0.0009155,0.001038,0.001312
-0.000824,0.001038,0.001556
-0.000702,0.001068,0.001801
-0.00058,0.001068,0.002075
-0.0004272,0.001038,0.00232
-0.0002441,0.001007,0.002594
-3.05e-05,0.000946,0.002777
0.0001831,0.0009155,0.002777
0.0003052,0.0009155,0.002716
0.0004272,0.000946,0.002472
0.0005493,0.000977,0.002197
0.0006714,0.0009155,0.001892
0.0006714,0.000946,0.001556
0.000763,0.0009155,0.00119
0.000763,0.000946,0.000885
0.000763,0.000885,0.0003662
0.000702,0.000824,-6.104e-05
0.0007324,0.0008545,-0.0006714
0.0007324,0.000824,-0.001221
0.000641,0.000824,-0.001709
0.000641,0.0008545,-0.002258
0.000641,0.0008545,-0.002655
0.0006714,0.0007935,-0.00293
0.0006714,0.000763,-0.003082
0.0007935,0.0007324,-0.003204
0.0009155,0.000702,-0.003204
0.001007,0.000641,-0.003204
0.001099,0.00058,-0.003143
0.001129,0.0006104,-0.00296
0.001251,0.0004883,-0.002716
0.001373,0.0004578,-0.00238
0.001312,0.0004272,-0.001923
0.001312,0.0003967,-0.001373
0.001282,0.0003662,-0.0008545
0.001343,0.0003052,-0.0002136
0.001312,0.0003052,0.0002747
0.001312,0.0001526,0.0007324
0.001343,0.0001831,0.001312
0.001343,9.155e-05,0.001953
0.001373,3.05e-05,0.002472
0.001465,-3.05e-05,0.003082
0.001495,0.0,0.003448
0.001587,-3.05e-05,0.003723
0.001678,-9.155e-05,0.003815
0.001862,-9.155e-05,0.003723
0.001953,-9.155e-05,0.003387
0.002014,-9.155e-05,0.003113
0.002075,-3.05e-05,0.002747
0.002075,3.05e-05,0.002289
0.002106,3.05e-05,0.001831
0.002075,0.0,0.00119
0.002075,6.104e-05,0.000519
0.002045,0.0001221,-0.0001526
0.001953,6.104e-05,-0.000763
0.00177,0.0001221,-0.001343
0.001587,9.155e-05,-0.001801
0.001465,9.155e-05,-0.002167
0.001282,9.155e-05,-0.002502
0.00119,6.104e-05,-0.002655
0.001068,3.05e-05,-0.002777
0.0009155,0.0,-0.002686
0.0007324,-3.05e-05,-0.002502
0.00058,-3.05e-05,-0.00232
0.000519,-6.104e-05,-0.002014
0.000519,-6.104e-05,-0.001526
0.0004578,-6.104e-05,-0.00116
0.0003967,-3.05e-05,-0.0006714
0.0003662,3.05e-05,-0.0002441
0.0003662,6.104e-05,3.05e-05
0.0003052,6.104e-05,0.0003052
0.0003052,0.0001526,0.000519
0.0003357,0.0001831,0.0006714
0.0003357,0.0003052,0.000641
0.0003052,0.0004272,0.0005493
0.0003662,0.0004883,0.0003052
0.0004578,0.0005493,3.05e-05
0.0004883,0.000641,-0.0003357
0.0006104,0.000763,-0.000702
0.000641,0.0007935,-0.000977
0.000702,0.0007935,-0.001282
0.0007935,0.000885,-0.001465
0.000885,0.000885,-0.001648
0.001007,0.0009155,-0.001801
0.001068,0.000977,-0.001831
0.001129,0.000946,-0.001892
0.001251,0.000977,-0.001831
0.001343,0.000946,-0.001617
0.001373,0.000946,-0.001343
0.001373,0.000885,-0.000885
0.001404,0.000977,-0.0004272
0.001465,0.0009155,0.0001526
0.001373,0.0008545,0.000641
0.001282,0.000763,0.0009155
0.00116,0.0007324,0.00116
0.001099,0.000763,0.001312
0.001007,0.000702,0.001404
0.0008545,0.000702,0.001404
0.0007324,0.0007324,0.001404
0.000702,0.000702,0.001434
0.00058,0.0007324,0.001495
0.0006104,0.0007935,0.001556
0.000519,0.0007324,0.001556
0.0004883,0.0007935,0.001495
0.0004578,0.0007324,0.001404
0.0004883,0.000763,0.001312
0.0005493,0.0007935,0.001129
0.000641,0.000763,0.000977
0.0007935,0.000763,0.000977
0.0008545,0.000763,0.0009155
0.000977,0.000702,0.000824
0.001007,0.000702,0.000885
0.001099,0.000702,0.0007935
0.00116,0.0006714,0.000702
0.001282,0.00058,0.000519
0.001312,0.0005493,0.0002441
0.001282,0.000519,0.0001526
0.001282,0.0004272,-3.05e-05
0.00119,0.0004272,-0.0001221
0.00116,0.0003357,-0.0001831
0.001038,0.0002441,-9.155e-05
0.000946,0.0002136,-3.05e-05
0.0007935,0.0001221,0.0001526
0.00058,3.05e-05,0.0002441
0.0004883,-3.05e-05,0.0003357
0.0003052,-6.104e-05,0.0004883
0.0001526,-9.155e-05,0.000641
-3.05e-05,-9.155e-05,0.000763
-0.0001831,-0.0001221,0.0009155
-0.0002747,-0.0001831,0.001068
-0.0003357,-0.0002441,0.00116
-0.000519,-0.0002441,0.001282
-0.00058,-0.0003052,0.001282
-0.0006714,-0.0002747,0.00119
-0.0006714,-0.0003052,0.000977
-0.000702,-0.0003967,0.0006104
-0.0007324,-0.0003967,0.0003052
-0.0006714,-0.0004578,-6.104e-05
-0.0006714,-0.0004883,-0.0003662
-0.000702,-0.00058,-0.000641
-0.00058,-0.000702,-0.000824
-0.00058,-0.0007324,-0.0008545
-0.00058,-0.0007935,-0.000946
-0.0005493,-0.000885,-0.001038
-0.00058,-0.0008545,-0.00119
-0.00058,-0.0009155,-0.001373
-0.0006104,-0.001038,-0.001465
-0.0006714,-0.001068,-0.001526
-0.000702,-0.001038,-0.001434
-0.0007324,-0.001099,-0.001312
-0.0007935,-0.001099,-0.001099
-0.000824,-0.001007,-0.000824
-0.0009155,-0.001007,-0.0006104
-0.000977,-0.000977,-0.0003357
-0.001007,-0.0009155,-0.0001526
-0.000977,-0.0008545,6.104e-05
-0.000977,-0.000824,0.0003357
-0.000977,-0.0007324,0.0005493
-0.001007,-0.0006104,0.0007935
-0.000946,-0.00058,0.001038
-0.0009155,-0.0005493,0.00116
-0.000824,-0.000519,0.001251
-0.000763,-0.0003967,0.00116
-0.0006714,-0.0003967,0.0009155
-0.000702,-0.0003662,0.00058
-0.000641,-0.0003357,0.0002747
-0.0005493,-0.0003357,-3.05e-05
-0.000641,-0.0002747,-0.0003052
-0.0005493,-0.0003052,-0.0004883
-0.0005493,-0.0003052,-0.000702
-0.0005493,-0.0003357,-0.000702
-0.0006104,-0.0003052,-0.000702
-0.0006104,-0.0003052,-0.0007324
-0.000702,-0.0002747,-0.0006714
-0.000763,-0.0002441,-0.00058
-0.0008545,-0.0002747,-0.0003052
-0.0008545,-0.0001831,-3.05e-05
-0.0009155,-0.0001831,0.0001831
-0.000977,-6.104e-05,0.0006714
-0.001099,-9.155e-05,0.001068
-0.001068,-6.104e-05,0.001373
-0.00116,0.0,0.001617
-0.001251,3.05e-05,0.001831
-0.00119,6.104e-05,0.002014
-0.001221,9.155e-05,0.002075
-0.001282,9.155e-05,0.002136
-0.001343,6.104e-05,0.002136
-0.001343,3.05e-05,0.002075
-0.001373,3.05e-05,0.001923
-0.001373,-3.05e-05,0.00177
-0.001404,-6.104e-05,0.001526
-0.001434,-0.0001526,0.001312
-0.001434,-0.0001526,0.001007
-0.001465,-0.0002441,0.000763
-0.001526,-0.0003357,0.0006714
-0.001526,-0.0003967,0.0004578
-0.001495,-0.0004578,0.0003662
-0.001526,-0.000519,0.0002441
-0.001526,-0.0006104,9.155e-05
-0.001465,-0.000641,-6.104e-05
-0.001526,-0.000702,-0.0001831
-0.001587,-0.000763,-0.0003357
-0.001556,-0.000824,-0.000519
-0.001526,-0.000885,-0.000702
-0.001556,-0.0008545,-0.000977
-0.001648,-0.0009155,-0.00116
-0.001526,-0.0009155,-0.001373
-0.001526,-0.000977,-0.001648
-0.001587,-0.000885,-0.001709
-0.001556,-0.000885,-0.001892
-0.001495,-0.000885,-0.001862
-0.001434,-0.000824,-0.001801
-0.001343,-0.0008545,-0.00177
-0.001282,-0.000763,-0.001556
-0.001221,-0.000702,-0.001282
-0.001068,-0.000702,-0.001068
-0.001068,-0.000641,-0.0007935
-0.000946,-0.0007324,-0.000519
-0.0008545,-0.0006714,-0.0002747
-0.000824,-0.000702,-6.104e-05
-0.000763,-0.0007324,9.155e-05
-0.000702,-0.0007324,0.0001831
-0.0006714,-0.000763,0.0002441
-0.000702,-0.000763,0.0003357
-0.000702,-0.0008545,0.0004272
-0.0006714,-0.0008545,0.0003967
-0.000763,-0.0009155,0.0004883
-0.000763,-0.000977,0.000519
-0.000763,-0.000946,0.00058
-0.000763,-0.001038,0.0006104
-0.000763,-0.000977,0.0006714
-0.0007935,-0.000977,0.000824
-0.000702,-0.000946,0.000885
-0.000702,-0.000885,0.0009155
-0.00058,-0.0008545,0.000885
-0.000519,-0.000763,0.0009155
-0.0004272,-0.000641,0.000885
-0.0003052,-0.000519,0.0007935
-0.0001526,-0.0004272,0.0006104
0.0,-0.0003357,0.0004883
0.0001221,-0.0002441,0.0003052
0.0002441,-9.155e-05,6.104e-05
0.0004272,0.0,-0.0001831
0.00058,0.0,-0.0003662
0.0006714,0.0001526,-0.0006104
0.0006714,0.0001831,-0.0008545
0.000763,0.0002747,-0.000977
0.000763,0.0003052,-0.00119
0.0007935,0.0003052,-0.001282
0.0007324,0.0002441,-0.001434
0.0007324,0.0003052,-0.001404
0.0006714,0.0002441,-0.001465
0.00058,0.0002136,-0.001465
0.00058,0.0002441,-0.001343
0.0004883,0.0002136,-0.001312
0.0003967,0.0002136,-0.00119
0.0003662,0.0001526,-0.001129
0.0002747,0.0001831,-0.001007
0.0002136,0.0001526,-0.000885
0.0002441,0.0002441,-0.0007324
0.0001831,0.0002747,-0.00058
0.0002441,0.0002747,-0.0003662
0.0002441,0.0003357,-0.0002136
0.0002747,0.0003967,-9.155e-05
0.0002441,0.0004578,0.0
0.0003357,0.0004883,6.104e-05
0.0004272,0.000519,6.104e-05
0.000519,0.0006104,3.05e-05
0.0005493,0.0006714,0.0
0.00058,0.0007324,-0.0001221
0.000641,0.000763,-0.0002441
0.000763,0.0007935,-0.0003357
0.000763,0.000763,-0.0004883
0.000824,0.0007935,-0.00058
0.0008545,0.0007935,-0.00058
0.000885,0.0007935,-0.000519
0.0008545,0.000824,-0.0004883
0.000824,0.0007935,-0.0003662
0.0007935,0.0007324,-0.0002747
0.0007324,0.000641,-0.0001526
0.0007324,0.000641,-9.155e-05
0.0006714,0.000641,0.0
0.0006104,0.00058,3.05e-05
0.0005493,0.00058,0.0001526
0.000519,0.000519,0.0002747
0.000519,0.0004883,0.0003357
0.0004578,0.0004578,0.0003357
0.0004272,0.0004272,0.0003357
0.0003967,0.0004578,0.0001526
0.0003967,0.0004272,0.0
0.0003967,0.0004883,-0.0001526
0.0004578,0.0003967,-0.0003357
0.0004883,0.0004272,-0.0004883
0.0004883,0.0004272,-0.0006714
0.0004883,0.0003662,-0.000702
0.0004883,0.0003967,-0.0008545
0.0005493,0.0003967,-0.001038
0.00058,0.0003357,-0.001129
0.0005493,0.0003357,-0.001343
0.000519,0.0003052,-0.001373
0.0005493,0.0001831,-0.001404
0.000519,0.0001526,-0.001221
0.0004578,9.155e-05,-0.001068
0.0004578,6.104e-05,-0.0009155
0.0003357,-6.104e-05,-0.0005493
0.0002747,-0.0001526,-0.0003052
0.0001831,-0.0002136,3.05e-05
0.0001221,-0.0002136,0.0002136
3.05e-05,-0.0003052,0.0004883
-6.104e-05,-0.0003357,0.000702
-0.0001831,-0.0003967,0.000946
-0.0001831,-0.0004883,0.00119
-0.0002441,-0.0004883,0.001282
-0.0003357,-0.000519,0.001373
-0.0003662,-0.00058,0.001343
-0.0004272,-0.0006104,0.001312
-0.0004578,-0.0006104,0.001221
-0.0004578,-0.000519,0.001038
-0.0004883,-0.0005493,0.000763
-0.0004883,-0.00058,0.0005493
-0.0004883,-0.000519,0.0003357
-0.0004883,-0.0005493,3.05e-05
-0.000519,-0.00058,-0.0002441
-0.000519,-0.000641,-0.0004578
-0.0004883,-0.0006714,-0.0006104
-0.000519,-0.0007324,-0.0007935
-0.0005493,-0.000702,-0.000824
-0.00058,-0.000763,-0.000946
-0.0005493,-0.000763,-0.000977
-0.000641,-0.0008545,-0.0008545
-0.0007324,-0.000824,-0.0008545
-0.000702,-0.0007935,-0.0006104
-0.000702,-0.0008545,-0.0004578
-0.0007935,-0.000885,-0.0002441
-0.0007935,-0.0008545,6.104e-05
-0.000885,-0.0007935,0.0002136
-0.000885,-0.000763,0.0004272
-0.001007,-0.000763,0.00058
-0.001038,-0.000702,0.0006714
-0.001038,-0.000641,0.0007324
-0.001038,-0.0006104,0.000824
-0.000946,-0.0006104,0.0007935
-0.000977,-0.0005493,0.000641
-0.000977,-0.0004578,0.0006104
-0.0009155,-0.0004272,0.0004272
-0.000946,-0.0003357,0.0001831
-0.0009155,-0.0003052,-3.05e-05
-0.0008545,-0.0002441,-0.0002747
-0.000824,-0.0001221,-0.0005493
-0.000763,-9.155e-05,-0.0007324
-0.000702,3.05e-05,-0.0009155
-0.0006714,3.05e-05,-0.001007
-0.00058,0.0001221,-0.001038
-0.000519,0.0001831,-0.001038
-0.0004272,0.0002136,-0.000946
-0.0004272,0.0002747,-0.000885
-0.0003662,0.0003052,-0.0007935
-0.0003662,0.0003357,-0.00058
-0.0004272,0.0003662,-0.0003967
-0.0003662,0.0003967,-9.155e-05
-0.0003357,0.0003357,0.0001831
-0.0004272,0.0004272,0.0004578
-0.0003052,0.0004883,0.000702
-0.0002441,0.000519,0.000885
-0.0003052,0.0005493,0.001068
-0.0002136,0.00058,0.001221
-0.0002441,0.000641,0.001343
-0.0001831,0.0006714,0.001373
-0.0001526,0.000702,0.001343
-6.104e-05,0.000763,0.001312
-6.104e-05,0.0007324,0.001282
3.05e-05,0.0007324,0.001129
0.0001221,0.000763,0.001068
0.0001526,0.000763,0.000824
0.0002747,0.0007324,0.0005493
0.0002747,0.000702,0.0003662
0.0003357,0.000702,0.0001526
0.0004883,0.0006714,-9.155e-05
0.0004883,0.0007324,-0.0001526
0.000519,0.0006714,-0.0001831
0.0005493,0.0006714,-0.0001831
0.0006104,0.0005493,-0.0001221
0.0006104,0.00058,-9.155e-05
0.000641,0.0004883,6.104e-05
0.000641,0.0004578,0.0001831
0.0006104,0.0003662,0.0002441
0.0006104,0.0003357,0.0003357
0.0005493,0.0003052,0.0004883
0.000519,0.0003052,0.0005493
0.000519,0.0002441,0.0006714
0.000519,0.0001526,0.000763
0.000519,9.155e-05,0.000763
0.0005493,0.0,0.000763
0.00058,0.0,0.0006714
0.0006104,-3.05e-05,0.0005493
0.000641,-6.104e-05,0.0003662
0.0006714,-9.155e-05,0.0001526
0.000763,-0.0001526,-0.0001526
0.0007935,-0.0002441,-0.0003357
0.0007935,-0.0002136,-0.00058
0.000885,-0.0002441,-0.000702
0.000885,-0.0002747,-0.000824
0.000946,-0.0003052,-0.0009155
0.000946,-0.0003052,-0.001007
0.000885,-0.0002441,-0.001068
0.000977,-0.0003357,-0.001129
0.001007,-0.0003967,-0.00119
0.000977,-0.0003662,-0.00116
0.001007,-0.0004272,-0.001068
0.001007,-0.0003662,-0.001007
0.000977,-0.0004272,-0.0009155
0.000977,-0.0004578,-0.000763
0.000977,-0.0004578,-0.0006714
0.000946,-0.0004272,-0.0006104
0.000977,-0.0003967,-0.0004578
0.000885,-0.0003967,-0.0004883
0.0008545,-0.0003967,-0.0003967
0.0009155,-0.0003052,-0.0003662
0.0008545,-0.0003052,-0.0003357
0.0009155,-0.0002441,-0.0002441
0.0009155,-0.0002136,-0.0002747
0.0008545,-0.0001526,-0.0002747
0.000824,-0.0001221,-0.0003052
0.000763,0.0,-0.0003662
0.0007935,3.05e-05,-0.0004578
0.0008545,6.104e-05,-0.0005493
0.000824,0.0001221,-0.0006104
0.0007935,0.0001221,-0.0006104
0.0007935,0.0001831,-0.000641
0.0007935,0.0002441,-0.0006714
0.000763,0.0002747,-0.000702
0.0007324,0.0003052,-0.000702
0.000763,0.0003662,-0.0006714
0.0007324,0.0003662,-0.000702
0.000702,0.0004272,-0.0006714
0.000702,0.0004883,-0.0006104
0.000641,0.000519,-0.000641
0.000702,0.000519,-0.00058
0.000641,0.0005493,-0.0004272
0.00058,0.0005493,-0.0003967
0.000641,0.00058,-0.0003052
0.0005493,0.0006104,-0.0001831
0.000519,0.0006104,-0.0001221
0.0004883,0.0006714,-6.104e-05
0.0004578,0.0006714,3.05e-05
0.0004272,0.0006714,3.05e-05
0.0004578,0.000641,0.0001221
0.0003357,0.000641,0.0001526
0.0003357,0.000641,0.0002136
0.0003052,0.000641,0.0003662
0.0002136,0.000641,0.0004272
0.0001831,0.0005493,0.0004578
0.0001221,0.0005493,0.0004272
9.155e-05,0.0005493,0.0003967
6.104e-05,0.0005493,0.0003662
-3.05e-05,0.0005493,0.0004578
-6.104e-05,0.0004883,0.0004578
-9.155e-05,0.0004272,0.0004578
-0.0001526,0.0004883,0.00058
-0.0001831,0.0004883,0.00058
-0.0002136,0.0004272,0.000641
-0.0002136,0.0003967,0.0006714
-0.0002136,0.0003662,0.000763
-0.0002136,0.0003662,0.0007324
-0.0001831,0.0003357,0.0007324
-0.0001831,0.0003357,0.000763
-0.0001526,0.0003052,0.0007324
-0.0001526,0.0002747,0.0007935
-9.155e-05,0.0003662,0.0007935
-9.155e-05,0.0002441,0.0007324
-9.155e-05,0.0002136,0.000702
-3.05e-05,0.0001831,0.00058
3.05e-05,0.0001831,0.0004883
3.05e-05,0.0001221,0.0003052
3.05e-05,6.104e-05,0.0001526
9.155e-05,6.104e-05,6.104e-05
9.155e-05,-6.104e-05,-6.104e-05
0.0001221,-6.104e-05,-0.0001526
6.104e-05,-9.155e-05,-0.0002747
6.104e-05,-0.0001831,-0.0003662
0.0001221,-0.0002441,-0.0004578
9.155e-05,-0.0002747,-0.00058
0.0001221,-0.0003357,-0.0006714
0.0001221,-0.0003357,-0.0007935
0.0001221,-0.0003662,-0.0007935
0.0001526,-0.0003357,-0.000824
0.0001526,-0.0004272,-0.000702
0.0001526,-0.0003662,-0.00058
0.0001221,-0.0003662,-0.0004578
0.0001526,-0.0003662,-0.0003052
0.0002136,-0.0003662,-0.0001526
0.0001526,-0.0004272,0.0
0.0002136,-0.0003967,0.0001526
0.0002136,-0.0003662,0.0002136
0.0002136,-0.0003967,0.0003662
0.0002441,-0.0003967,0.0004883
0.0001831,-0.0003967,0.00058
0.0002441,-0.0004578,0.0007324
0.0001526,-0.0003662,0.0007935
0.0001526,-0.0003662,0.0008545
0.0001526,-0.0003357,0.000885
0.0001221,-0.0004883,0.000824
9.155e-05,-0.0004272,0.000824
0.0,-0.0003967,0.0007935
3.05e-05,-0.0004272,0.000763
0.0,-0.0003662,0.000763
-9.155e-05,-0.0003357,0.000702
-0.0001831,-0.0003052,0.000641
-0.0001526,-0.0003052,0.00058
-0.0002747,-0.0003357,0.000519
